CombID	SenID	templatenum	prem	hyp	label	top1	top1_score	top2	top2_score	top3	top3_score
1	2	0	The adult is photographed with a camera	There is a child present	alternation	contradiction	0.8901038765907288	neutral	0.09042937308549881	entailment	0.019466670230031013
1	2	0	The child is photographed with a camera	There is a adult present	alternation	neutral	0.6207457184791565	entailment	0.2466270625591278	contradiction	0.1326272338628769
1	2	1	The adult is in the water	The child is wet	alternation	contradiction	0.8924077749252319	entailment	0.05915817618370056	neutral	0.04843411594629288
1	2	1	The child is in the water	The adult is wet	alternation	contradiction	0.8415713310241699	entailment	0.09739568084478378	neutral	0.061032988131046295
1	2	2	A adult is outside near a campfire at night	There is a child outside	alternation	contradiction	0.9613776206970215	neutral	0.02850150875747204	entailment	0.010120836086571217
1	2	2	A child is outside near a campfire at night	There is a adult outside	alternation	contradiction	0.9384101629257202	neutral	0.03596166521310806	entailment	0.025628112256526947
1	2	3	A young woman is looking at a adult with a binocular	A child is looked at by a woman	alternation	contradiction	0.9349700212478638	neutral	0.03632580488920212	entailment	0.0287042073905468
1	2	3	A young woman is looking at a child with a binocular	A adult is looked at by a woman	alternation	contradiction	0.903272807598114	entailment	0.06527864187955856	neutral	0.03144853562116623
1	2	4	Several people are moving towards the adult	There is a group of people near the child	alternation	contradiction	0.8502015471458435	neutral	0.09976130723953247	entailment	0.050037141889333725
1	2	4	Several people are moving towards the child	There is a group of people near the adult	alternation	contradiction	0.7283281683921814	neutral	0.14664502441883087	entailment	0.12502679228782654
1	2	5	A bald man standing to the side of a adult	The man stands near a child.	alternation	contradiction	0.9683876037597656	neutral	0.025321608409285545	entailment	0.006290828809142113
1	2	5	A bald man standing to the side of a child	The man stands near a adult.	alternation	contradiction	0.9120756387710571	entailment	0.06277376413345337	neutral	0.025150621309876442
1	2	6	A kid fetches a adult by a tree in the yard.	a kid gets a child	alternation	contradiction	0.98020339012146	neutral	0.016494885087013245	entailment	0.0033017077948898077
1	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adult	alternation	contradiction	0.9862889051437378	neutral	0.011281149461865425	entailment	0.0024298985954374075
1	2	7	A green frog buys a adult from a stand.	There is a green frog buying a child	alternation	contradiction	0.966945469379425	neutral	0.02622263878583908	entailment	0.006831866689026356
1	2	7	A green frog buys a child from a stand.	There is a green frog buying a adult	alternation	contradiction	0.9847093224525452	neutral	0.010842174291610718	entailment	0.004448448307812214
1	2	8	A adult	A child	alternation	contradiction	0.9882339239120483	neutral	0.007632664404809475	entailment	0.004133441485464573
1	2	8	A child	A adult	alternation	contradiction	0.9943656921386719	neutral	0.0034131836146116257	entailment	0.002221103757619858
2	2	0	The adults worldwide is photographed with a camera	There is a child present	alternation	contradiction	0.8507853150367737	neutral	0.12188445776700974	entailment	0.027330251410603523
2	2	0	The child is photographed with a camera	There is a adults worldwide present	alternation	contradiction	0.8907902240753174	neutral	0.07823406159877777	entailment	0.030975716188549995
2	2	1	The adults worldwide is in the water	The child is wet	alternation	contradiction	0.5840837359428406	entailment	0.28093016147613525	neutral	0.13498608767986298
2	2	1	The child is in the water	The adults worldwide is wet	alternation	contradiction	0.9122067093849182	neutral	0.0459514856338501	entailment	0.041841838508844376
2	2	2	A adults worldwide is outside near a campfire at night	There is a child outside	alternation	contradiction	0.9528688788414001	neutral	0.036668673157691956	entailment	0.010462462902069092
2	2	2	A child is outside near a campfire at night	There is a adults worldwide outside	alternation	contradiction	0.945188581943512	neutral	0.035923704504966736	entailment	0.01888771541416645
2	2	3	A young woman is looking at a adults worldwide with a binocular	A child is looked at by a woman	alternation	contradiction	0.9489721059799194	neutral	0.029261376708745956	entailment	0.02176649682223797
2	2	3	A young woman is looking at a child with a binocular	A adults worldwide is looked at by a woman	alternation	contradiction	0.8709266781806946	entailment	0.07229652255773544	neutral	0.05677682161331177
2	2	4	Several people are moving towards the adults worldwide	There is a group of people near the child	alternation	contradiction	0.7689590454101562	neutral	0.13713338971138	entailment	0.09390758723020554
2	2	4	Several people are moving towards the child	There is a group of people near the adults worldwide	alternation	neutral	0.4451991021633148	contradiction	0.402427613735199	entailment	0.1523733139038086
2	2	5	A bald man standing to the side of a adults worldwide	The man stands near a child.	alternation	contradiction	0.9202463626861572	neutral	0.0665697380900383	entailment	0.013183917850255966
2	2	5	A bald man standing to the side of a child	The man stands near a adults worldwide.	alternation	contradiction	0.9630725979804993	neutral	0.028895268216729164	entailment	0.008032097481191158
2	2	6	A kid fetches a adults worldwide by a tree in the yard.	a kid gets a child	alternation	contradiction	0.9657567739486694	neutral	0.026010621339082718	entailment	0.00823254231363535
2	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adults worldwide	alternation	contradiction	0.976350724697113	neutral	0.019708311185240746	entailment	0.003941030707210302
2	2	7	A green frog buys a adults worldwide from a stand.	There is a green frog buying a child	alternation	contradiction	0.9416732788085938	neutral	0.046787720173597336	entailment	0.011538996361196041
2	2	7	A green frog buys a child from a stand.	There is a green frog buying a adults worldwide	alternation	contradiction	0.8155546188354492	neutral	0.1677732914686203	entailment	0.016672058030962944
2	2	8	A adults worldwide	A child	alternation	contradiction	0.9791975021362305	neutral	0.016291415318846703	entailment	0.004511003382503986
2	2	8	A child	A adults worldwide	alternation	contradiction	0.983188807964325	neutral	0.01252757664769888	entailment	0.004283632151782513
3	3	0	The adult is photographed with a camera	There is a mother present	reverseentailment	neutral	0.9110890030860901	entailment	0.07410065084695816	contradiction	0.01481033768504858
3	3	0	The mother is photographed with a camera	There is a adult present	reverseentailment	entailment	0.9803724884986877	neutral	0.018123382702469826	contradiction	0.001504097948782146
3	3	1	The adult is in the water	The mother is wet	reverseentailment	neutral	0.7517456412315369	entailment	0.23715727031230927	contradiction	0.011097054928541183
3	3	1	The mother is in the water	The adult is wet	reverseentailment	entailment	0.9875782132148743	neutral	0.012105317786335945	contradiction	0.00031644993578083813
3	3	2	A adult is outside near a campfire at night	There is a mother outside	reverseentailment	neutral	0.9126660227775574	entailment	0.07289789617061615	contradiction	0.014436072669923306
3	3	2	A mother is outside near a campfire at night	There is a adult outside	reverseentailment	entailment	0.9747921824455261	neutral	0.02308775670826435	contradiction	0.002120130928233266
3	3	3	A young woman is looking at a adult with a binocular	A mother is looked at by a woman	reverseentailment	neutral	0.9318879246711731	entailment	0.06464661657810211	contradiction	0.0034654815681278706
