CombID	SenID	templatenum	prem	hyp	top1	top1_score	top2	top2_score	top3	top3_score
1	4	0	The man is photographed with a camera	There is a boy present	contradiction	0.7179941534996033	neutral	0.18691574037075043	entailment	0.0950901135802269
1	4	0	The boy is photographed with a camera	There is a man present	entailment	0.4055359661579132	neutral	0.39589783549308777	contradiction	0.19856619834899902
1	4	1	The man is in the water	The boy is wet	entailment	0.5912832617759705	contradiction	0.2914702296257019	neutral	0.11724651604890823
1	4	1	The boy is in the water	The man is wet	entailment	0.7705231308937073	neutral	0.1482691764831543	contradiction	0.08120765537023544
1	4	2	A man is outside near a campfire at night	There is a boy outside	contradiction	0.7430930733680725	neutral	0.1837959885597229	entailment	0.07311096787452698
1	4	2	A boy is outside near a campfire at night	There is a man outside	contradiction	0.5351548790931702	neutral	0.25358453392982483	entailment	0.2112606018781662
1	4	3	A young woman is looking at a man with a binocular	A boy is looked at by a woman	neutral	0.5803031325340271	entailment	0.33981209993362427	contradiction	0.07988473027944565
1	4	3	A young woman is looking at a boy with a binocular	A man is looked at by a woman	entailment	0.5941124558448792	contradiction	0.25427231192588806	neutral	0.15161526203155518
1	4	4	Several people are moving towards the man	There is a group of people near the boy	entailment	0.3845851421356201	contradiction	0.3505888283252716	neutral	0.2648259997367859
1	4	4	Several people are moving towards the boy	There is a group of people near the man	entailment	0.5419791340827942	contradiction	0.256024569272995	neutral	0.20199629664421082
1	4	5	A bald man standing to the side of a man	The man stands near a boy.	contradiction	0.8751946687698364	neutral	0.10603708028793335	entailment	0.018768278881907463
1	4	5	A bald man standing to the side of a boy	The man stands near a man.	entailment	0.7580578327178955	contradiction	0.1272081583738327	neutral	0.11473403126001358
1	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boy	neutral	0.5110081434249878	entailment	0.3860093653202057	contradiction	0.10298246890306473
1	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a man	contradiction	0.6962340474128723	neutral	0.19290414452552795	entailment	0.11086184531450272
1	4	7	A green frog buys a man from a stand.	There is a green frog buying a boy	neutral	0.37602415680885315	contradiction	0.35505345463752747	entailment	0.2689223885536194
1	4	7	A green frog buys a boy from a stand.	There is a green frog buying a man	neutral	0.41752690076828003	contradiction	0.3181256055831909	entailment	0.26434755325317383
1	4	8	A man	A boy	contradiction	0.9103696942329407	neutral	0.06387974321842194	entailment	0.02575056068599224
1	4	8	A boy	A man	contradiction	0.8307291269302368	entailment	0.084657222032547	neutral	0.08461367338895798
2	4	0	The man is photographed with a camera	There is a outdoors present	neutral	0.5572791695594788	entailment	0.39539989829063416	contradiction	0.0473208911716938
2	4	0	The outdoors is photographed with a camera	There is a man present	neutral	0.5527787804603577	entailment	0.360023558139801	contradiction	0.08719763159751892
2	4	1	The man is in the water	The outdoors is wet	entailment	0.9150341749191284	neutral	0.08387651294469833	contradiction	0.0010893219150602818
2	4	1	The outdoors is in the water	The man is wet	neutral	0.5305697917938232	entailment	0.4289200007915497	contradiction	0.04051019996404648
2	4	2	A man is outside near a campfire at night	There is a outdoors outside	entailment	0.8798774480819702	neutral	0.10998927056789398	contradiction	0.010133248753845692
2	4	2	A outdoors is outside near a campfire at night	There is a man outside	neutral	0.6974794864654541	entailment	0.2932429909706116	contradiction	0.00927751325070858
2	4	3	A young woman is looking at a man with a binocular	A outdoors is looked at by a woman	entailment	0.7259049415588379	neutral	0.26599764823913574	contradiction	0.008097432553768158
2	4	3	A young woman is looking at a outdoors with a binocular	A man is looked at by a woman	neutral	0.6139886379241943	entailment	0.3294088840484619	contradiction	0.05660253390669823
2	4	4	Several people are moving towards the man	There is a group of people near the outdoors	neutral	0.578141987323761	entailment	0.3976897597312927	contradiction	0.024168245494365692
2	4	4	Several people are moving towards the outdoors	There is a group of people near the man	neutral	0.4839411675930023	entailment	0.40611693263053894	contradiction	0.10994184017181396
2	4	5	A bald man standing to the side of a man	The man stands near a outdoors.	neutral	0.8115251660346985	entailment	0.17246133089065552	contradiction	0.016013501212000847
2	4	5	A bald man standing to the side of a outdoors	The man stands near a man.	entailment	0.5429551601409912	neutral	0.4277675747871399	contradiction	0.029277276247739792
2	4	6	A kid fetches a man by a tree in the yard.	a kid gets a outdoors	entailment	0.7965496778488159	neutral	0.18019035458564758	contradiction	0.023259993642568588
