prawn	phoronid	disjoint	khn | sibl
captain	wet	disjoint	cog | RANDOM
leisure	relax	synonym	eval | Synonym
arm	dagger	reverseentailment	bless | hyper
hickory	ash	disjoint	khn | sibl
knowledge	money	disjoint	cog | RANDOM
plant	monstera	reverseentailment	khn | hypo
melodious	piano	independent	bless | attri
sieve	confessor	independent	bless | random
plant	wildflower	reverseentailment	khn | hypo
cranberry	coconut	disjoint	bless | coord
lion	whale	disjoint	bless | coord
coati	carnivore	forwardentailment	khn | hypo
assertion	denial	disjoint	syn_ant | ANT
cottage	proud	independent	bless | random
skateboard	whitefly	disjoint	khn | false
use	benefit	synonym	eval | Synonym
chordate	greyhound	reverseentailment	khn | hypo
pit	jackrabbit	disjoint	khn | false
minute	library	independent	bless | random
licorice	rosemary	disjoint	khn | sibl
hippopotamus	stallion	disjoint	khn | sibl
steal	frog	independent	bless | random
chordate	passerine	reverseentailment	khn | hypo
horse	ash	independent	bless | random
cell	nucleus	independent	cog | PART_OF
refinery	paintbrush	disjoint	khn | false
life	hard	independent	eval | HasProperty
forklift	sled	disjoint	khn | sibl
rabbit	dolphin	disjoint	bless | coord
globe	map	forwardentailment	root | HYPER
material	stone	reverseentailment	root | HYPER
coatrack	tardigrade	disjoint	khn | false
donkey	willingness	independent	bless | random
virginian	refinery	disjoint	khn | false
bean	potato	disjoint	bless | coord
combustion	ant	independent	bless | random
carnation	pink	forwardentailment	khn | hypo
sparrow	pigeon	disjoint	bless | coord
birth	farm	disjoint	cog | RANDOM
tetraskele	wagon	disjoint	khn | false
lid	action	disjoint	cog | RANDOM
build	den	reverseentailment	root | HYPER
spinach	herb	forwardentailment	khn | hypo
light	flash	reverseentailment	root | HYPER
movie	show	forwardentailment	cog | HYPER
mastodon	prune	disjoint	khn | false
township	bottle	independent	bless | random
black	dog	independent	eval | HasProperty
shellfish	crab	reverseentailment	root | HYPER
full	stuff	synonym	eval | Synonym
demolish	villa	independent	bless | event
rifle	ayries	independent	bless | random
groove	jam	synonym	syn_ant | SYN
velocity	speed	synonym	syn_ant | SYN
remove	mouth	disjoint	cog | RANDOM
refinery	vetch	disjoint	khn | sibl
sieve	artefact	forwardentailment	bless | hyper
evidence	proof	synonym	syn_ant | SYN
team	guitar	independent	bless | random
zangwill	refinery	disjoint	khn | false
fridge	species	independent	bless | random
creature	catfish	reverseentailment	bless | hyper
pea	peanut	disjoint	khn | sibl
bat	placental	forwardentailment	khn | hypo
ungulate	zebra	reverseentailment	khn | hypo
bathtub	bitch	disjoint	cog | RANDOM
lady	clip	disjoint	cog | RANDOM
church	pirana	disjoint	khn | false
parent	family	independent	cog | PART_OF
house	wall	independent	eval | PartOf
dive	wrench	independent	bless | random
human	intelligent	independent	eval | HasProperty
young	calf	reverseentailment	khn | hypo
olive	macadamia	disjoint	khn | sibl
succeed	home	disjoint	cog | RANDOM
pub	cathedral	disjoint	bless | coord
houseboat	aqueduct	disjoint	khn | false
pardon	absolve	synonym	syn_ant | SYN
sniff	nose	synonym	syn_ant | SYN
fox	deer	disjoint	bless | coord
finger	toe	disjoint	eval | Antonym
balloon	golfcart	disjoint	khn | sibl
mosquito	honeybee	disjoint	khn | sibl
vertebrate	kiwi	reverseentailment	khn | hypo
bamboo	coriander	disjoint	khn | sibl
catmint	sesame	disjoint	khn | sibl
object	purpose	synonym	eval | Synonym
fork	shovel	disjoint	bless | coord
freeze	cellar	disjoint	cog | RANDOM
hart	placental	forwardentailment	khn | hypo
broadcast	cypress	independent	bless | random
jacket	south	disjoint	cog | RANDOM
photographer	cameraman	reverseentailment	root | HYPER
lavender	lilac	disjoint	khn | sibl
enjoyment	car	disjoint	cog | RANDOM
soda	caffeine	reverseentailment	root | HYPER
concise	wordy	disjoint	syn_ant | ANT
refinery	confucius	disjoint	khn | false
vicuna	roebuck	disjoint	khn | sibl
kill	nose	disjoint	cog | RANDOM
island	pedal	disjoint	cog | RANDOM
chelonian	terrapin	reverseentailment	khn | hypo
baseball	sport	forwardentailment	cog | HYPER
cryptocoryne	snowberry	disjoint	khn | sibl
refuel	van	independent	bless | event
bloodworm	annelid	forwardentailment	khn | hypo
world	ocean	independent	eval | HasA
box	frangipani	disjoint	khn | sibl
gerbil	animal	forwardentailment	khn | hypo
woad	rue	disjoint	khn | sibl
touch	look	disjoint	cog | ANT
encyclopaedism	world	disjoint	khn | false
blackthorn	plant	forwardentailment	khn | hypo
fox	altar	independent	bless | random
exclude	consist	disjoint	syn_ant | ANT
fridge	carry	independent	bless | random
oxygen	atmosphere	independent	cog | PART_OF
cook	turtle	independent	bless | event
spermatophyte	gazanium	reverseentailment	khn | hypo
nook	kid	disjoint	khn | false
pull	shirt	independent	bless | event
copper	penny	independent	eval | MadeOf
hq	mint	disjoint	khn | false
napery	wallaby	disjoint	khn | false
ceiling	instrument	disjoint	cog | RANDOM
porgy	scup	disjoint	khn | mero
land	fighter	independent	bless | event
baseball	head	disjoint	cog | RANDOM
ruminant	eland	reverseentailment	khn | hypo
placental	world	reverseentailment	khn | hypo
ice	log	disjoint	cog | RANDOM
refinery	gallina	disjoint	khn | false
timpani	mint	disjoint	khn | false
artist	displease	disjoint	cog | RANDOM
lion	jackal	disjoint	khn | sibl
geologic	earthy	forwardentailment	root | HYPER
bind	book	independent	eval | PartOf
artefact	scooter	reverseentailment	bless | hyper
main	prime	reverseentailment	root | HYPER
horse	powerful	independent	eval | HasProperty
mate	ride	disjoint	cog | RANDOM
craft	warship	reverseentailment	khn | hypo
kitchenware	jar	reverseentailment	bless | hyper
shiny	saxophone	independent	bless | attri
isopod	lamppost	disjoint	khn | false
bridge	kite	disjoint	cog | RANDOM
plate	china	independent	eval | MadeOf
leave	refuse	disjoint	cog | RANDOM
chip	effect	disjoint	cog | RANDOM
construction	paint	independent	eval | PartOf
bird	successful	disjoint	cog | RANDOM
experiment	control	reverseentailment	root | HYPER
gloxinia	plant	forwardentailment	khn | hypo
refinery	electromagnet	disjoint	khn | false
star	idol	reverseentailment	root | HYPER
spear	grenade	disjoint	bless | coord
lease	jar	disjoint	cog | RANDOM
frigate	big	independent	bless | attri
animal	tadpole	reverseentailment	khn | hypo
sky	ocean	disjoint	eval | Antonym
travel	hop	reverseentailment	root | HYPER
watch	face	independent	eval | HasA
herring	tail	independent	bless | mero
washer	rhetoric	independent	bless | random
shirt	sweater	disjoint	bless | coord
ceiling	paint	independent	eval | HasProperty
bronco	mammal	forwardentailment	khn | hypo
hammer	chisel	disjoint	bless | coord
loose	bind	disjoint	cog | ANT
matter	nothing	disjoint	syn_ant | ANT
