CombID	label	meta	pred
1	disjoint	org	disjoint
2	disjoint	add	independent
3	reverseentailment	org	reverseentailment
4	disjoint	org	disjoint
5	disjoint	add	disjoint
6	reverseentailment	org	synonym
7	reverseentailment	add	reverseentailment
8	disjoint	org	independent
9	disjoint	add	disjoint
10	reverseentailment	org	reverseentailment
11	reverseentailment	org	reverseentailment
12	disjoint	add	independent
13	synonym	org	synonym
14	disjoint	add	independent
15	disjoint	add	independent
16	reverseentailment	org	forwardentailment
17	disjoint	org	forwardentailment
18	disjoint	org	independent
19	disjoint	org	disjoint
20	reverseentailment	org	reverseentailment
21	disjoint	org	independent
22	disjoint	org	independent
23	disjoint	org	disjoint
24	disjoint	org	independent
25	forwardentailment	org	independent
26	disjoint	add	forwardentailment
27	disjoint	org	independent
28	disjoint	add	independent
29	disjoint	add	independent
30	disjoint	org	independent
31	independent	org	independent
32	disjoint	add	independent
33	synonym	org	forwardentailment
34	disjoint	add	reverseentailment
35	disjoint	org	disjoint
36	disjoint	add	disjoint
37	independent	org	independent
38	synonym	org	forwardentailment
39	independent	org	independent
40	disjoint	add	disjoint
41	independent	org	independent
42	disjoint	add	independent
43	disjoint	org	disjoint
44	disjoint	add	disjoint
45	independent	org	independent
46	forwardentailment	org	forwardentailment
47	independent	org	independent
48	disjoint	add	independent
49	disjoint	add	independent
50	independent	org	independent
51	disjoint	add	independent
52	disjoint	add	independent
53	forwardentailment	org	disjoint
54	independent	org	synonym
55	disjoint	org	disjoint
56	disjoint	add	disjoint
57	disjoint	org	disjoint
58	forwardentailment	org	forwardentailment
59	forwardentailment	org	forwardentailment
60	forwardentailment	org	forwardentailment
61	disjoint	add	independent
62	disjoint	org	disjoint
63	disjoint	add	disjoint
64	forwardentailment	org	forwardentailment
65	forwardentailment	add	forwardentailment
66	disjoint	add	independent
67	forwardentailment	org	independent
68	disjoint	add	disjoint
69	disjoint	org	disjoint
70	forwardentailment	org	forwardentailment
71	forwardentailment	add	independent
72	independent	add	independent
73	independent	org	reverseentailment
74	disjoint	add	disjoint
75	disjoint	add	disjoint
76	independent	org	independent
77	disjoint	add	disjoint
78	disjoint	add	independent
79	independent	org	disjoint
80	disjoint	add	disjoint
81	disjoint	add	disjoint
82	disjoint	org	independent
83	independent	org	independent
84	disjoint	add	independent
85	synonym	org	synonym
86	disjoint	add	independent
87	independent	org	independent
88	disjoint	add	independent
89	disjoint	org	disjoint
90	disjoint	add	disjoint
91	disjoint	add	disjoint
92	reverseentailment	org	reverseentailment
93	disjoint	org	independent
94	reverseentailment	org	reverseentailment
95	reverseentailment	add	reverseentailment
96	reverseentailment	org	independent
97	independent	add	independent
98	independent	org	independent
99	independent	add	independent
100	independent	org	independent
101	forwardentailment	org	forwardentailment
102	independent	add	forwardentailment
103	independent	add	forwardentailment
104	reverseentailment	org	forwardentailment
105	reverseentailment	org	reverseentailment
106	forwardentailment	org	independent
107	independent	add	independent
108	disjoint	org	disjoint
