1	The adult is photographed with a camera	There is a child present	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	The child is photographed with a camera	There is a adult present	alternation	entailment	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	The adult is in the water	The child is wet	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	The child is in the water	The adult is wet	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A adult is outside near a campfire at night	There is a child outside	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A child is outside near a campfire at night	There is a adult outside	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A young woman is looking at a adult with a binocular	A child is looked at by a woman	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A young woman is looking at a child with a binocular	A adult is looked at by a woman	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	Several people are moving towards the adult	There is a group of people near the child	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	Several people are moving towards the child	There is a group of people near the adult	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A bald man standing to the side of a adult	The man stands near a child.	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A bald man standing to the side of a child	The man stands near a adult.	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A kid fetches a adult by a tree in the yard.	a kid gets a child	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A kid fetches a child by a tree in the yard.	a kid gets a adult	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A green frog buys a adult from a stand.	There is a green frog buying a child	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A green frog buys a child from a stand.	There is a green frog buying a adult	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A adult	A child	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
1	A child	A adult	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('contradiction', 'entailment'): 1})
2	The adults worldwide is photographed with a camera	There is a child present	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('entailment', 'contradiction'): 1})
2	The child is photographed with a camera	There is a adults worldwide present	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('entailment', 'contradiction'): 1})
2	The adults worldwide is in the water	The child is wet	alternation	entailment	Counter({('contradiction', 'contradiction'): 8, ('entailment', 'contradiction'): 1})
2	The child is in the water	The adults worldwide is wet	alternation	contradiction	Counter({('contradiction', 'contradiction'): 8, ('entailment', 'contradiction'): 1})
