CombID	SenID	merge_tag	W1_tag	W2_tag	W1	W2	pred
1	4	NP	NN	NN	man	boy	reverseentailment
2	4	NP	NN	NNS	man	outdoors	disjoint
3	4	NP	NN	n	man	boy playing outdoors	disjoint
4	4	NP	NN	n	man	man smiling	independent
5	4	NP	NNS	NN	boys	boy	synonym
6	4	NP	NNS	NN	boys	man	disjoint
7	4	NP	NNS	NNS	boys	outdoors	disjoint
8	4	NP	NNS	n	boys	boy playing outdoors	independent
9	4	NP	NNS	n	boys	man smiling	disjoint
10	4	NP	NNS	NN	outdoors	boy	disjoint
11	4	NP	NNS	NN	outdoors	man	disjoint
12	4	NP	NNS	n	outdoors	boy playing outdoors	independent
13	4	NP	NNS	n	outdoors	man smiling	disjoint
14	4	NP	n	NN	young boys	boy	synonym
15	4	NP	n	NN	young boys	man	disjoint
16	4	NP	n	NNS	young boys	outdoors	disjoint
17	4	NP	n	n	young boys	boy playing outdoors	independent
18	4	NP	n	n	young boys	man smiling	disjoint
19	4	VP	VBG	VBG	playing	smiling	independent
20	4	VP	VBG	VBG	smiling	playing	disjoint
21	24	NP	NN	NN	jacket	bicycle	disjoint
22	24	NP	NN	NN	jacket	person	independent
23	24	NP	NN	NN	jacket	wheel	disjoint
24	24	NP	NN	n	jacket	one wheel	disjoint
25	24	NP	NN	n	jacket	skilled person	independent
26	24	NP	NN	NN	motorbike	bicycle	disjoint
27	24	NP	NN	NN	motorbike	person	disjoint
28	24	NP	NN	NN	motorbike	wheel	disjoint
29	24	NP	NN	n	motorbike	one wheel	disjoint
30	24	NP	NN	n	motorbike	skilled person	disjoint
31	24	NP	NN	NN	person	bicycle	independent
32	24	NP	NN	NN	person	wheel	independent
33	24	NP	NN	n	person	one wheel	independent
34	24	NP	NN	n	person	skilled person	reverseentailment
35	24	NP	NNS	NN	tricks	bicycle	independent
36	24	NP	NNS	NN	tricks	person	independent
37	24	NP	NNS	NN	tricks	wheel	reverseentailment
38	24	NP	NNS	n	tricks	one wheel	disjoint
39	24	NP	NNS	n	tricks	skilled person	independent
40	24	NP	n	NN	black jacket	bicycle	disjoint
41	24	NP	n	NN	black jacket	person	independent
42	24	NP	n	NN	black jacket	wheel	disjoint
43	24	NP	n	n	black jacket	one wheel	disjoint
44	24	NP	n	n	black jacket	skilled person	independent
45	24	VP	VBG	VBG	doing	riding	reverseentailment
46	24	phrasal	JJ	(s:ng\np)\(s:ng\np)	black	on one wheel	disjoint
47	24	phrasal	JJ	JJ	black	skilled	disjoint
48	24	phrasal	pp	(s:ng\np)\(s:ng\np)	on a motorbike	on one wheel	independent
49	24	phrasal	pp	JJ	on a motorbike	skilled	disjoint
50	105	NP	NN	NNS	gym	backbends	disjoint
51	105	NP	NN	NNS	gym	girls	independent
52	105	NP	NN	NNS	gym	outdoors	disjoint
53	105	NP	NN	n	gym	Four girls	independent
54	105	NP	NNS	NNS	backbends	girls	disjoint
55	105	NP	NNS	NNS	backbends	outdoors	disjoint
56	105	NP	NNS	n	backbends	Four girls	disjoint
57	105	NP	NNS	NNS	children	backbends	disjoint
58	105	NP	NNS	NNS	children	girls	independent
59	105	NP	NNS	NNS	children	outdoors	disjoint
60	105	NP	NNS	n	children	Four girls	reverseentailment
61	105	NP	n	NNS	Four children	backbends	disjoint
62	105	NP	n	NNS	Four children	girls	independent
63	105	NP	n	NNS	Four children	outdoors	disjoint
64	105	NP	n	n	Four children	Four girls	independent
65	105	VP	VBG	VBG	doing	playing	reverseentailment
66	116	NP	NN	NN	ball	football	synonym
67	116	NP	NN	NN	ball	match	independent
68	116	NP	NN	NNS	ball	teams	independent
69	116	NP	NN	n	ball	Two teams	independent
70	116	NP	NN	n	ball	football match	synonym
71	116	NP	NN	NN	player	football	reverseentailment
72	116	NP	NN	NN	player	match	independent
73	116	NP	NN	NNS	player	teams	independent
74	116	NP	NN	n	player	Two teams	independent
75	116	NP	NN	n	player	football match	independent
76	116	VP	VBG	VBG	throwing	competing	forwardentailment
77	119	NP	NN	NN	front	hut	independent
78	119	NP	NN	NNS	front	children	disjoint
79	119	NP	NN	n	front	Five children	disjoint
80	119	NP	NN	n	front	wooden hut	independent
81	119	NP	NN	NNS	hut	children	independent
82	119	NP	NN	n	hut	Five children	independent
83	119	NP	NN	n	hut	wooden hut	synonym
84	119	NP	NNS	NN	children	hut	independent
85	119	NP	NNS	n	children	Five children	synonym
86	119	NP	NNS	n	children	wooden hut	independent
87	119	NP	n	NN	Five children	hut	independent
88	119	NP	n	NNS	Five children	children	synonym
89	119	NP	n	n	Five children	wooden hut	independent
90	119	NP	n	NN	wooden hut	hut	synonym
91	119	NP	n	NNS	wooden hut	children	independent
92	119	NP	n	n	wooden hut	Five children	independent
93	119	phrasal	JJ	pp	wooden	in a wooden hut	independent
94	185	NP	NN	NN	restaurant	group	independent
95	185	NP	NN	NNS	restaurant	people	independent
96	185	NP	NN	n	restaurant	Asian people	independent
97	185	NP	NN	n	restaurant	group of Asian people	independent
98	185	NP	NNS	NN	lights	group	disjoint
99	185	NP	NNS	NN	lights	restaurant	independent
100	185	NP	NNS	NNS	lights	people	independent
101	185	NP	NNS	n	lights	Asian people	disjoint
102	185	NP	NNS	n	lights	group of Asian people	independent
103	185	NP	NNS	NN	people	group	independent
104	185	NP	NNS	NN	people	restaurant	independent
105	185	NP	NNS	n	people	Asian people	reverseentailment
106	185	NP	NNS	n	people	group of Asian people	reverseentailment
107	185	NP	NNS	NN	tables	group	independent
108	185	NP	NNS	NN	tables	restaurant	independent
109	185	NP	NNS	NNS	tables	people	independent
110	185	NP	NNS	n	tables	Asian people	independent
111	185	NP	NNS	n	tables	group of Asian people	independent
112	185	NP	n	NN	Few people	group	disjoint
113	185	NP	n	NN	Few people	restaurant	independent
114	185	NP	n	NNS	Few people	people	disjoint
115	185	NP	n	n	Few people	Asian people	independent
116	185	NP	n	n	Few people	group of Asian people	disjoint
117	185	NP	n	NN	red tables	group	independent
118	185	NP	n	NN	red tables	restaurant	independent
119	185	NP	n	NNS	red tables	people	independent
120	185	NP	n	n	red tables	Asian people	independent
121	185	NP	n	n	red tables	group of Asian people	independent
122	185	phrasal	(s:ng\np)\(s:ng\np)	JJ	in a restaurant	Asian	independent
123	185	phrasal	(s:ng\np)\(s:ng\np)	JJ	in a restaurant	large	independent
124	185	phrasal	(s:ng\np)\(s:ng\np)	pp	in a restaurant	at a restaurant	disjoint
125	185	phrasal	(s:ng\np)\(s:ng\np)	JJ	without lights	Asian	disjoint
126	185	phrasal	(s:ng\np)\(s:ng\np)	JJ	without lights	large	disjoint
127	185	phrasal	(s:ng\np)\(s:ng\np)	pp	without lights	at a restaurant	independent
128	185	phrasal	JJ	JJ	Few	Asian	disjoint
129	185	phrasal	JJ	JJ	Few	large	disjoint
130	185	phrasal	JJ	pp	Few	at a restaurant	independent
131	185	phrasal	JJ	JJ	red	Asian	disjoint
132	185	phrasal	JJ	JJ	red	large	disjoint
133	185	phrasal	JJ	pp	red	at a restaurant	independent
134	185	phrasal	pp	JJ	at red tables	Asian	independent
135	185	phrasal	pp	JJ	at red tables	large	independent
136	185	phrasal	pp	pp	at red tables	at a restaurant	independent
137	197	NP	NN	NN	motorcycle	seat	independent
138	197	NP	NN	NN	motorcycle	vehicle	forwardentailment
139	197	NP	NN	n	motorcycle	seat of the vehicle	forwardentailment
140	197	NP	NN	NN	seat	motorcycle	independent
141	197	NP	NN	NN	seat	vehicle	independent
142	197	NP	NN	n	seat	seat of the vehicle	synonym
143	197	NP	n	NN	black and white motorcycle	motorcycle	disjoint
144	197	NP	n	NN	black and white motorcycle	seat	independent
145	197	NP	n	NN	black and white motorcycle	vehicle	forwardentailment
146	197	NP	n	n	black and white motorcycle	seat of the vehicle	independent
147	197	VP	VBG	VBG	standing	riding	disjoint
148	211	NP	NN	NN	tree	plant	forwardentailment
149	211	NP	NN	NNS	tree	dogs	disjoint
150	211	NP	NN	n	tree	Two dogs	disjoint
151	211	NP	NNS	NN	dogs	plant	disjoint
152	211	NP	NNS	n	dogs	Two dogs	synonym
153	211	NP	n	NN	Two dogs	plant	disjoint
154	211	NP	n	NNS	Two dogs	dogs	synonym
155	211	phrasal	(s:ng\np)\(s:ng\np)	(s:ng\np)\(s:ng\np)	by a tree	by a plant	forwardentailment
156	218	NP	NN	NNS	girl	clothes	independent
157	218	NP	NN	n	girl	white clothes	independent
158	218	NP	n	NN	girl in white	girl	synonym
159	218	NP	n	NNS	girl in white	clothes	forwardentailment
160	218	NP	n	n	girl in white	white clothes	synonym
161	218	VP	VBG	VBG	dancing	wearing	forwardentailment
162	219	NP	NN	NN	dancing	girl	independent
163	219	NP	NN	n	dancing	girl in white	independent
164	219	NP	NN	n	girl	girl in white	synonym
165	219	NP	n	NN	girl in white dancing	girl	synonym
166	219	NP	n	n	girl in white dancing	girl in white	synonym
167	219	NP	n	NN	white dancing	girl	independent
168	219	NP	n	n	white dancing	girl in white	independent
169	225	NP	NN	NN	dancing	girl	independent
170	225	NP	NN	n	dancing	girl in white	independent
171	225	NP	NN	NN	equipment	girl	disjoint
172	225	NP	NN	n	equipment	girl in white	disjoint
173	225	NP	NN	NN	front	girl	disjoint
174	225	NP	NN	n	front	girl in white	independent
175	225	NP	NN	n	girl	girl in white	synonym
176	225	NP	n	NN	blond dancing girl	girl	forwardentailment
