CombID	ProbID	merge_tag	W1_tag	W2_tag	W1	W2	L1	L2
1	1	NP	NNS	NNS	people	desks	people	desk
2	1	NP	NNS	NN	people	school	people	school
3	1	NP	NN	NNS	restaurant	people	restaurant	people
4	1	NP	NN	NNS	restaurant	desks	restaurant	desk
5	1	NP	NN	NN	restaurant	school	restaurant	school
6	1	NP	NN	NNS	setting	people	setting	people
7	1	NP	NN	NNS	setting	desks	setting	desk
8	1	NP	NN	NN	setting	school	setting	school
9	1	VP	VBG	VBG	drinking	sitting	drink	sit
10	1	NP	NN	NNS	orange	people	orange	people
11	1	NP	NN	NNS	orange	desks	orange	desk
12	1	NP	NN	NN	orange	school	orange	school
13	1	NP	NN	NNS	juice	people	juice	people
14	1	NP	NN	NNS	juice	desks	juice	desk
15	1	NP	NN	NN	juice	school	juice	school
16	1	NP	n	NNS	few people	people	few people	people
17	1	NP	n	NNS	few people	desks	few people	desk
18	1	NP	n	NN	few people	school	few people	school
19	1	phrasal_IN	np\np	(s:ng\np)\(s:ng\np)	in a restaurant setting	at desks	in a restaurant setting	at desk
20	1	phrasal_IN	np\np	(s:ng\np)\(s:ng\np)	in a restaurant setting	in school	in a restaurant setting	in school
21	1	NP	n	NNS	restaurant setting	people	restaurant setting	people
22	1	NP	n	NNS	restaurant setting	desks	restaurant setting	desk
23	1	NP	n	NN	restaurant setting	school	restaurant setting	school
24	1	phrasal_IN	np\np	(s:ng\np)\(s:ng\np)	of them	at desks	of they	at desk
25	1	phrasal_IN	np\np	(s:ng\np)\(s:ng\np)	of them	in school	of they	in school
26	1	NP	n	NNS	orange juice	people	orange juice	people
27	1	NP	n	NNS	orange juice	desks	orange juice	desk
28	1	NP	n	NN	orange juice	school	orange juice	school
29	2	NP	NN	NN	woman	couple	woman	couple
30	2	NP	NN	n	woman	married couple	woman	married couple
31	2	VP	VBG	VBG	wearing	sleeping	wear	sleep
32	2	phrasal_JJ	JJ	JJ	white	married	white	married
33	2	phrasal_JJ	JJ	JJ	eating	married	eating	married
34	2	VP	VBZ	VBG	walks	sleeping	walk	sleep
35	2	phrasal_JJ	JJ	JJ	next	married	next	married
36	2	NP	NN	NN	man	couple	man	couple
37	2	NP	NN	n	man	married couple	man	married couple
38	2	VP	VBG	VBG	holding	sleeping	hold	sleep
39	2	NP	NN	NN	briefcase	couple	briefcase	couple
40	2	NP	NN	n	briefcase	married couple	briefcase	married couple
41	2	NP	n	NN	white and eating , walks	couple	white and eating , walk	couple
42	2	NP	n	n	white and eating , walks	married couple	white and eating , walk	married couple
43	2	NP	n	NN	, walks	couple	, walk	couple
44	2	NP	n	n	, walks	married couple	, walk	married couple
45	3	NP	NNS	NN	skis	person	ski	person
46	3	NP	NN	NN	rail	person	rail	person
47	3	NP	NN	NN	night	person	night	person
48	4	NP	NN	NNS	teenage	boys	teenage	boy
49	4	NP	NN	NN	teenage	pizza	teenage	pizza
50	4	NP	NN	NN	teenage	restaurant	teenage	restaurant
51	4	NP	NNS	NN	boys	pizza	boy	pizza
52	4	NP	NNS	NN	boys	restaurant	boy	restaurant
53	4	VP	VBG	VBG	doing	eating	do	eat
54	4	NP	NNS	NNS	cannonballs	boys	cannonball	boy
55	4	NP	NNS	NN	cannonballs	pizza	cannonball	pizza
56	4	NP	NNS	NN	cannonballs	restaurant	cannonball	restaurant
57	4	NP	NN	NNS	swimming	boys	swimming	boy
58	4	NP	NN	NN	swimming	pizza	swimming	pizza
59	4	NP	NN	NN	swimming	restaurant	swimming	restaurant
60	4	NP	NN	NNS	pool	boys	pool	boy
61	4	NP	NN	NN	pool	pizza	pool	pizza
62	4	NP	NN	NN	pool	restaurant	pool	restaurant
63	4	NP	n	NNS	Four teenage boys	boys	four teenage boy	boy
64	4	NP	n	NN	Four teenage boys	pizza	four teenage boy	pizza
65	4	NP	n	NN	Four teenage boys	restaurant	four teenage boy	restaurant
66	4	phrasal_IN	(s:ng\np)\(s:ng\np)	(s:ng\np)\(s:ng\np)	into a swimming pool	in a restaurant	into a swimming pool	in a restaurant
67	4	NP	n	NNS	swimming pool	boys	swimming pool	boy
68	4	NP	n	NN	swimming pool	pizza	swimming pool	pizza
69	4	NP	n	NN	swimming pool	restaurant	swimming pool	restaurant
70	5	NP	NN	NN	car	truck	car	truck
