CombID	SenID	merge_tag	W1_tag	W2_tag	W1	W2	pred
1	1	NP	NN	NN	background	group	disjoint
2	1	NP	NN	NN	background	man	disjoint
3	1	NP	NN	NN	background	yard	disjoint
4	1	NP	NN	NNS	background	boys	disjoint
5	1	NP	NN	n	background	boys in a yard	disjoint
6	1	NP	NN	NN	group	background	disjoint
7	1	NP	NN	NN	group	man	disjoint
8	1	NP	NN	NN	group	yard	disjoint
9	1	NP	NN	NNS	group	boys	reverseentailment
10	1	NP	NN	n	group	boys in a yard	disjoint
11	1	NP	NN	NN	man	background	disjoint
12	1	NP	NN	NN	man	group	disjoint
13	1	NP	NN	NN	man	yard	disjoint
14	1	NP	NN	NNS	man	boys	disjoint
15	1	NP	NN	n	man	boys in a yard	disjoint
16	1	NP	NN	NN	yard	background	disjoint
17	1	NP	NN	NN	yard	group	disjoint
18	1	NP	NN	NN	yard	man	disjoint
19	1	NP	NN	NNS	yard	boys	disjoint
20	1	NP	NN	n	yard	boys in a yard	disjoint
21	1	NP	NNS	NN	kids	background	disjoint
22	1	NP	NNS	NN	kids	group	forwardentailment
23	1	NP	NNS	NN	kids	man	disjoint
24	1	NP	NNS	NN	kids	yard	disjoint
25	1	NP	NNS	NNS	kids	boys	synonym
26	1	NP	NNS	n	kids	boys in a yard	synonym
27	1	NP	n	NN	group of kids	background	disjoint
28	1	NP	n	NN	group of kids	group	synonym
29	1	NP	n	NN	group of kids	man	disjoint
30	1	NP	n	NN	group of kids	yard	disjoint
31	1	NP	n	NNS	group of kids	boys	reverseentailment
32	1	NP	n	n	group of kids	boys in a yard	reverseentailment
33	1	NP	n	NN	old man	background	disjoint
34	1	NP	n	NN	old man	group	disjoint
35	1	NP	n	NN	old man	man	forwardentailment
36	1	NP	n	NN	old man	yard	disjoint
37	1	NP	n	NNS	old man	boys	disjoint
38	1	NP	n	n	old man	boys in a yard	disjoint
39	1	VP	VBG	VBG	playing	standing	disjoint
40	1	VP	VBG	VBG	standing	playing	disjoint
41	1	phrasal	(s:ng\np)\(s:ng\np)	pp	in a yard	in the background	independent
42	1	phrasal	JJ	pp	old	in the background	disjoint
43	2	NP	NN	NN	background	group	disjoint
44	2	NP	NN	NN	background	man	disjoint
45	2	NP	NN	NN	background	yard	disjoint
46	2	NP	NN	NNS	background	kids	disjoint
47	2	NP	NN	n	background	group of kids	disjoint
48	2	NP	NN	n	background	old man	disjoint
49	2	NP	NN	NN	group	background	disjoint
50	2	NP	NN	NN	group	man	disjoint
51	2	NP	NN	NN	group	yard	disjoint
52	2	NP	NN	NNS	group	kids	reverseentailment
53	2	NP	NN	n	group	group of kids	synonym
54	2	NP	NN	n	group	old man	disjoint
55	2	NP	NN	NN	house	background	independent
56	2	NP	NN	NN	house	group	forwardentailment
57	2	NP	NN	NN	house	man	independent
58	2	NP	NN	NN	house	yard	independent
59	2	NP	NN	NNS	house	kids	independent
60	2	NP	NN	n	house	group of kids	independent
61	2	NP	NN	n	house	old man	independent
62	2	NP	NN	NN	man	background	disjoint
63	2	NP	NN	NN	man	group	disjoint
64	2	NP	NN	NN	man	yard	disjoint
65	2	NP	NN	NNS	man	kids	disjoint
66	2	NP	NN	n	man	group of kids	disjoint
67	2	NP	NN	n	man	old man	reverseentailment
68	2	NP	NNS	NN	children	background	disjoint
69	2	NP	NNS	NN	children	group	disjoint
70	2	NP	NNS	NN	children	man	disjoint
71	2	NP	NNS	NN	children	yard	disjoint
72	2	NP	NNS	NNS	children	kids	synonym
73	2	NP	NNS	n	children	group of kids	synonym
74	2	NP	NNS	n	children	old man	disjoint
75	2	NP	n	NN	group of children	background	disjoint
76	2	NP	n	NN	group of children	group	synonym
77	2	NP	n	NN	group of children	man	disjoint
78	2	NP	n	NN	group of children	yard	disjoint
79	2	NP	n	NNS	group of children	kids	synonym
80	2	NP	n	n	group of children	group of kids	synonym
81	2	NP	n	n	group of children	old man	disjoint
82	2	VP	VBG	VBG	playing	standing	disjoint
83	2	VP	VBG	VBG	standing	playing	disjoint
84	2	phrasal	(s:ng\np)\(s:ng\np)	(s:ng\np)\(s:ng\np)	in the house	in a yard	independent
85	2	phrasal	(s:ng\np)\(s:ng\np)	JJ	in the house	old	disjoint
86	2	phrasal	(s:ng\np)\(s:ng\np)	pp	in the house	in the background	disjoint
87	2	phrasal	pp	(s:ng\np)\(s:ng\np)	in the background	in a yard	disjoint
88	2	phrasal	pp	JJ	in the background	old	disjoint
89	3	NP	NN	NN	man	smile	independent
90	3	NP	NN	NNS	man	kids	disjoint
91	3	NP	NN	NNS	man	outdoors	disjoint
92	3	NP	NN	n	man	man with a smile	independent
93	3	NP	NNS	NN	boys	man	disjoint
94	3	NP	NNS	NN	boys	smile	independent
95	3	NP	NNS	NNS	boys	kids	forwardentailment
96	3	NP	NNS	NNS	boys	outdoors	disjoint
97	3	NP	NNS	n	boys	man with a smile	disjoint
98	3	NP	NNS	NN	outdoors	man	disjoint
99	3	NP	NNS	NN	outdoors	smile	disjoint
100	3	NP	NNS	NNS	outdoors	kids	disjoint
101	3	NP	NNS	n	outdoors	man with a smile	disjoint
102	3	NP	n	NN	young boys	man	disjoint
103	3	NP	n	NN	young boys	smile	independent
104	3	NP	n	NNS	young boys	kids	synonym
105	3	NP	n	NNS	young boys	outdoors	disjoint
106	3	NP	n	n	young boys	man with a smile	disjoint
107	3	VP	VBG	VBG	smiling	playing	disjoint
108	5	NP	NN	NN	man	background	disjoint
109	5	NP	NN	NN	man	group	disjoint
110	5	NP	NN	NN	man	yard	disjoint
111	5	NP	NN	NNS	man	kids	disjoint
112	5	NP	NN	n	man	group of kids	disjoint
113	5	NP	NN	n	man	old man	reverseentailment
114	5	NP	NN	NN	smile	background	disjoint
115	5	NP	NN	NN	smile	group	disjoint
116	5	NP	NN	NN	smile	man	independent
117	5	NP	NN	NN	smile	yard	disjoint
118	5	NP	NN	NNS	smile	kids	independent
119	5	NP	NN	n	smile	group of kids	independent
120	5	NP	NN	n	smile	old man	independent
121	5	NP	NNS	NN	kids	background	disjoint
122	5	NP	NNS	NN	kids	group	forwardentailment
123	5	NP	NNS	NN	kids	man	disjoint
124	5	NP	NNS	NN	kids	yard	disjoint
125	5	NP	NNS	n	kids	group of kids	synonym
126	5	NP	NNS	n	kids	old man	disjoint
127	5	NP	NNS	NN	outdoors	background	disjoint
128	5	NP	NNS	NN	outdoors	group	disjoint
129	5	NP	NNS	NN	outdoors	man	disjoint
130	5	NP	NNS	NN	outdoors	yard	independent
131	5	NP	NNS	NNS	outdoors	kids	disjoint
132	5	NP	NNS	n	outdoors	group of kids	disjoint
133	5	NP	NNS	n	outdoors	old man	disjoint
134	5	NP	n	NN	man with a smile	background	independent
135	5	NP	n	NN	man with a smile	group	disjoint
136	5	NP	n	NN	man with a smile	man	synonym
137	5	NP	n	NN	man with a smile	yard	disjoint
138	5	NP	n	NNS	man with a smile	kids	disjoint
139	5	NP	n	n	man with a smile	group of kids	disjoint
140	5	NP	n	n	man with a smile	old man	reverseentailment
141	5	VP	VBG	VBG	playing	standing	disjoint
142	9	NP	NN	NN	man	background	disjoint
143	9	NP	NN	NN	man	group	disjoint
144	9	NP	NN	NN	man	yard	disjoint
145	9	NP	NN	NNS	man	kids	disjoint
146	9	NP	NN	n	man	group of kids	disjoint
147	9	NP	NN	n	man	old man	reverseentailment
148	9	NP	NNS	NN	boys	background	disjoint
149	9	NP	NNS	NN	boys	group	forwardentailment
150	9	NP	NNS	NN	boys	man	disjoint
151	9	NP	NNS	NN	boys	yard	disjoint
152	9	NP	NNS	NNS	boys	kids	forwardentailment
153	9	NP	NNS	n	boys	group of kids	forwardentailment
154	9	NP	NNS	n	boys	old man	disjoint
155	9	NP	NNS	NN	outdoors	background	disjoint
156	9	NP	NNS	NN	outdoors	group	disjoint
157	9	NP	NNS	NN	outdoors	man	disjoint
158	9	NP	NNS	NN	outdoors	yard	independent
159	9	NP	NNS	NNS	outdoors	kids	disjoint
160	9	NP	NNS	n	outdoors	group of kids	disjoint
161	9	NP	NNS	n	outdoors	old man	disjoint
162	9	NP	n	NN	young boys	background	disjoint
163	9	NP	n	NN	young boys	group	disjoint
164	9	NP	n	NN	young boys	man	disjoint
165	9	NP	n	NN	young boys	yard	disjoint
166	9	NP	n	NNS	young boys	kids	synonym
167	9	NP	n	n	young boys	group of kids	forwardentailment
168	9	NP	n	n	young boys	old man	disjoint
169	9	VP	VBG	VBG	playing	standing	disjoint
170	9	VP	VBG	VBG	smiling	playing	disjoint
171	9	VP	VBG	VBG	smiling	standing	forwardentailment
172	9	phrasal	JJ	(s:ng\np)\(s:ng\np)	young	in a yard	disjoint
173	9	phrasal	JJ	JJ	young	old	disjoint
174	9	phrasal	JJ	pp	young	in the background	disjoint
175	12	NP	NNS	n	dogs	Two dogs	synonym
176	12	NP	n	NNS	Two dogs	dogs	synonym
177	12	VP	VBG	VBG	fighting	hugging	disjoint
178	12	VP	VBG	VBG	fighting	wrestling	reverseentailment
179	14	NP	NN	NNS	animal	dogs	reverseentailment
180	14	NP	NN	n	animal	Two dogs	reverseentailment
181	14	NP	NN	NNS	dog	dogs	forwardentailment
182	14	NP	NN	n	dog	Two dogs	forwardentailment
183	14	NP	NN	NNS	front	dogs	disjoint
184	14	NP	NN	n	front	Two dogs	disjoint
185	14	NP	NN	NNS	man	dogs	disjoint
186	14	NP	NN	n	man	Two dogs	disjoint
187	14	NP	NNS	NNS	pants	dogs	disjoint
188	14	NP	NNS	n	pants	Two dogs	disjoint
189	14	NP	n	NNS	brown dog	dogs	forwardentailment
190	14	NP	n	n	brown dog	Two dogs	forwardentailment
191	14	NP	n	NNS	front of the man	dogs	disjoint
192	14	NP	n	n	front of the man	Two dogs	disjoint
193	14	VP	VBG	VBG	attacking	fighting	forwardentailment
194	18	NP	NN	NNS	animal	dogs	reverseentailment
195	18	NP	NN	n	animal	Two dogs	reverseentailment
196	18	NP	NN	NNS	dog	dogs	forwardentailment
197	18	NP	NN	n	dog	Two dogs	forwardentailment
198	18	NP	NN	NNS	front	dogs	disjoint
199	18	NP	NN	n	front	Two dogs	disjoint
200	18	NP	NN	NNS	man	dogs	disjoint
201	18	NP	NN	n	man	Two dogs	disjoint
