tarsier	chordate	forwardentailment	khn | hypo	NOUN
artefact	knife	reverseentailment	root | HYPER	NOUN
motorcycle	encourage	independent	bless | random	VERB
jail	free	disjoint	eval | Antonym	ADJ
rabbit	beaver	disjoint	bless | coord	NOUN
man	frame	disjoint	khn | mero	NOUN
strong	bear	independent	bless | attri	ADJ
swallow	eat	synonym	eval | Synonym	VERB
fireplace	chimney	independent	eval | HasA	NOUN
science	nice	disjoint	cog | RANDOM	ADJ
admire	book	disjoint	cog | RANDOM	NOUN
refinery	scapegrace	disjoint	khn | false	NOUN
hold	wrench	independent	bless | event	VERB
rifle	ayries	independent	bless | random	NOUN
screen	surface	forwardentailment	root | HYPER	NOUN
pika	sparrow	disjoint	khn | sibl	NOUN
parrot	lory	reverseentailment	khn | hypo	NOUN
flute	practice	independent	bless | event	NOUN
sweatshirt	vest	disjoint	bless | coord	NOUN
base	box	independent	cog | PART_OF	NOUN
township	bottle	independent	bless | random	NOUN
duck	chicken	disjoint	eval | Antonym	VERB
see	picture	reverseentailment	root | HYPER	VERB
stone	pub	independent	bless | mero	NOUN
yellow	brave	disjoint	eval | Antonym	ADJ
ship	screw	independent	eval | PartOf	NOUN
sheepfold	beef	disjoint	khn | false	NOUN
cello	form	independent	bless | random	NOUN
collembolan	sector	disjoint	khn | false	NOUN
diazonium	flathead	disjoint	khn | false	NOUN
direct	order	synonym	eval | Synonym	NOUN
past	present	disjoint	cog | ANT	ADJ
cry	life	independent	eval | PartOf	NOUN
hat	mask	disjoint	bless | coord	NOUN
van	heavy	independent	bless | attri	ADJ
refinery	slipover	disjoint	khn | false	NOUN
spear	grenade	disjoint	bless | coord	NOUN
spoon	dirty	independent	bless | attri	ADJ
coconut	mango	disjoint	bless | coord	NOUN
profit	care	disjoint	cog | RANDOM	NOUN
mean	friendly	disjoint	cog | ANT	VERB
hammer	chisel	disjoint	bless | coord	NOUN
counterpane	humankind	disjoint	khn | false	NOUN
fabric	finch	disjoint	khn | false	NOUN
goat	pig	disjoint	bless | coord	NOUN
large	restaurant	independent	bless | attri	ADJ
fender	scooter	independent	bless | mero	NOUN
quiet	bend	disjoint	cog | RANDOM	ADJ
plate	spoon	disjoint	bless | coord	NOUN
unpleasant	fart	independent	eval | HasProperty	ADJ
little	tall	disjoint	cog | ANT	ADJ
compact	big	disjoint	eval | Antonym	ADJ
tail	orange	disjoint	cog | RANDOM	ADJ
woodpecker	animal	forwardentailment	root | HYPER	NOUN
cheap	plastic	independent	eval | HasProperty	ADJ
zero	male	disjoint	cog | RANDOM	ADJ
robin	swallow	disjoint	bless | coord	VERB
washer	bomber	independent	bless | random	NOUN
turnip	parsley	disjoint	bless | coord	NOUN
revolver	barrel	independent	bless | mero	NOUN
swordfish	publication	disjoint	khn | false	NOUN
elephant	beaver	disjoint	bless | coord	NOUN
reredos	moth	independent	bless | random	NOUN
daniel	bus	disjoint	khn | false	NOUN
couch	frame	independent	eval | PartOf	NOUN
wash	rinse	independent	eval | PartOf	NOUN
refund	plum	independent	bless | random	NOUN
jump	hop	synonym	eval | Synonym	VERB
mobile	stationary	disjoint	eval | Antonym	ADJ
tower	tall	independent	eval | HasProperty	NOUN
ruminant	steenbok	reverseentailment	khn | hypo	NOUN
oryx	bovid	forwardentailment	khn | hypo	NOUN
author	unhappy	disjoint	cog | RANDOM	NOUN
hand	foot	disjoint	eval | Antonym	NOUN
pack	bad	disjoint	cog | RANDOM	ADJ
lay	sparrow	independent	bless | event	VERB
give	need	disjoint	eval | Antonym	VERB
echidna	animal	forwardentailment	khn | hypo	NOUN
paper	material	forwardentailment	cog | HYPER	NOUN
flute	kazoo	disjoint	bless | coord	NOUN
chamomile	herb	forwardentailment	khn | hypo	NOUN
jackal	carnivore	forwardentailment	khn | hypo	NOUN
sheep	longyi	disjoint	khn | false	NOUN
china	girlfriend	disjoint	cog | RANDOM	NOUN
cistern	mint	disjoint	khn | false	NOUN
shrub	periwinkle	reverseentailment	khn | hypo	NOUN
alligator	reptile	forwardentailment	bless | hyper	NOUN
refinery	pashtoon	disjoint	khn | false	NOUN
mulberry	pinon	disjoint	khn | sibl	NOUN
mug	break	independent	bless | event	VERB
suppresser	refinery	disjoint	khn | false	NOUN
pool	game	forwardentailment	root | HYPER	NOUN
hammer	corkscrew	disjoint	bless | coord	NOUN
refinery	simon	disjoint	khn | false	NOUN
farewell	goodbye	reverseentailment	root | HYPER	NOUN
redbud	tree	forwardentailment	khn | hypo	NOUN
young	piglet	reverseentailment	khn | hypo	ADJ
statue	agreement	disjoint	cog | RANDOM	NOUN
house	community	forwardentailment	root | HYPER	NOUN
excite	sex	independent	eval | HasProperty	NOUN
agamid	lizard	forwardentailment	khn | hypo	NOUN
stereo	amplifier	independent	bless | mero	NOUN
pineapple	oats	disjoint	khn | sibl	NOUN
mite	arthropod	forwardentailment	khn | hypo	NOUN
team	individual	disjoint	eval | Antonym	NOUN
lamppost	isopod	disjoint	khn | false	NOUN
electrification	lion	independent	bless | random	NOUN
hatchet	Hmmm	independent	bless | random	NOUN
bindweed	passionflower	disjoint	khn | sibl	NOUN
oscine	swallow	reverseentailment	khn | hypo	VERB
lilac	privet	disjoint	khn | sibl	NOUN
herb	buttercup	reverseentailment	khn | hypo	NOUN
strawberry	mullein	disjoint	khn | sibl	NOUN
ragi	refinery	disjoint	khn | false	NOUN
bomber	allow	independent	bless | random	VERB
chordate	wolf	reverseentailment	khn | hypo	NOUN
item	chisel	independent	bless | random	NOUN
ape	sporangiophore	disjoint	khn | false	NOUN
shirt	casework	independent	bless | random	NOUN
washer	appliance	forwardentailment	root | HYPER	NOUN
information	newspaper	independent	eval | PartOf	NOUN
rifle	trigger	independent	bless | mero	NOUN
cypress	conifer	forwardentailment	bless | hyper	NOUN
banana	chickweed	disjoint	khn | sibl	NOUN
wild	learn	disjoint	cog | RANDOM	ADJ
mug	churchyard	independent	bless | random	NOUN
zebra	giraffe	disjoint	bless | coord	NOUN
spinach	prosaic	independent	bless | random	NOUN
scissors	knife	disjoint	bless | coord	NOUN
kalashnikov	rifle	disjoint	bless | coord	NOUN
croquet	carrot	independent	bless | random	NOUN
live	grow	independent	eval | PartOf	VERB
viper	rattlesnake	reverseentailment	khn | hypo	NOUN
covering	blouse	reverseentailment	bless | hyper	VERB
refinery	quaker	disjoint	khn | false	NOUN
jackrabbit	aardvark	disjoint	khn | sibl	NOUN
refinery	dupe	disjoint	khn | false	NOUN
mature	line	disjoint	cog | RANDOM	NOUN
villa	lodging	forwardentailment	bless | hyper	NOUN
fisher	animal	forwardentailment	khn | hypo	NOUN
car	part	independent	eval | MadeOf	NOUN
whipstitching	gemsbok	disjoint	khn | false	NOUN
sheep	itch	independent	bless | random	NOUN
