CombID	SenID	templatenum	prem	hyp	label	meta
1	2	0	The adult is photographed with a camera	There is a child present	disjoint	org
1	2	0	The child is photographed with a camera	There is a adult present	disjoint	org
1	2	1	The adult is in the water	The child is wet	disjoint	org
1	2	1	The child is in the water	The adult is wet	disjoint	org
1	2	2	A adult is outside near a campfire at night	There is a child outside	disjoint	org
1	2	2	A child is outside near a campfire at night	There is a adult outside	disjoint	org
1	2	3	A young woman is looking at a adult with a binocular	A child is looked at by a woman	disjoint	org
1	2	3	A young woman is looking at a child with a binocular	A adult is looked at by a woman	disjoint	org
1	2	4	Several people are moving towards the adult	There is a group of people near the child	disjoint	org
1	2	4	Several people are moving towards the child	There is a group of people near the adult	disjoint	org
1	2	5	A bald man standing to the side of a adult	The man stands near a child.	disjoint	org
1	2	5	A bald man standing to the side of a child	The man stands near a adult.	disjoint	org
1	2	6	A kid fetches a adult by a tree in the yard.	a kid gets a child	disjoint	org
1	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adult	disjoint	org
1	2	7	A green frog buys a adult from a stand.	There is a green frog buying a child	disjoint	org
1	2	7	A green frog buys a child from a stand.	There is a green frog buying a adult	disjoint	org
1	2	8	A adult	A child	disjoint	org
1	2	8	A child	A adult	disjoint	org
2	2	0	The adults worldwide is photographed with a camera	There is a child present	disjoint	add
2	2	0	The child is photographed with a camera	There is a adults worldwide present	disjoint	add
2	2	1	The adults worldwide is in the water	The child is wet	disjoint	add
2	2	1	The child is in the water	The adults worldwide is wet	disjoint	add
2	2	2	A adults worldwide is outside near a campfire at night	There is a child outside	disjoint	add
2	2	2	A child is outside near a campfire at night	There is a adults worldwide outside	disjoint	add
2	2	3	A young woman is looking at a adults worldwide with a binocular	A child is looked at by a woman	disjoint	add
2	2	3	A young woman is looking at a child with a binocular	A adults worldwide is looked at by a woman	disjoint	add
2	2	4	Several people are moving towards the adults worldwide	There is a group of people near the child	disjoint	add
2	2	4	Several people are moving towards the child	There is a group of people near the adults worldwide	disjoint	add
2	2	5	A bald man standing to the side of a adults worldwide	The man stands near a child.	disjoint	add
2	2	5	A bald man standing to the side of a child	The man stands near a adults worldwide.	disjoint	add
2	2	6	A kid fetches a adults worldwide by a tree in the yard.	a kid gets a child	disjoint	add
2	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adults worldwide	disjoint	add
2	2	7	A green frog buys a adults worldwide from a stand.	There is a green frog buying a child	disjoint	add
2	2	7	A green frog buys a child from a stand.	There is a green frog buying a adults worldwide	disjoint	add
2	2	8	A adults worldwide	A child	disjoint	add
2	2	8	A child	A adults worldwide	disjoint	add
3	3	0	The adult is photographed with a camera	There is a mother present	reverseentailment	org
3	3	0	The mother is photographed with a camera	There is a adult present	reverseentailment	org
3	3	1	The adult is in the water	The mother is wet	reverseentailment	org
3	3	1	The mother is in the water	The adult is wet	reverseentailment	org
3	3	2	A adult is outside near a campfire at night	There is a mother outside	reverseentailment	org
3	3	2	A mother is outside near a campfire at night	There is a adult outside	reverseentailment	org
3	3	3	A young woman is looking at a adult with a binocular	A mother is looked at by a woman	reverseentailment	org
3	3	3	A young woman is looking at a mother with a binocular	A adult is looked at by a woman	reverseentailment	org
3	3	4	Several people are moving towards the adult	There is a group of people near the mother	reverseentailment	org
3	3	4	Several people are moving towards the mother	There is a group of people near the adult	reverseentailment	org
3	3	5	A bald man standing to the side of a adult	The man stands near a mother.	reverseentailment	org
3	3	5	A bald man standing to the side of a mother	The man stands near a adult.	reverseentailment	org
3	3	6	A kid fetches a adult by a tree in the yard.	a kid gets a mother	reverseentailment	org
3	3	6	A kid fetches a mother by a tree in the yard.	a kid gets a adult	reverseentailment	org
3	3	7	A green frog buys a adult from a stand.	There is a green frog buying a mother	reverseentailment	org
3	3	7	A green frog buys a mother from a stand.	There is a green frog buying a adult	reverseentailment	org
3	3	8	A adult	A mother	reverseentailment	org
3	3	8	A mother	A adult	reverseentailment	org
4	4	0	The aircraft is photographed with a camera	There is a base present	disjoint	org
4	4	0	The base is photographed with a camera	There is a aircraft present	disjoint	org
4	4	1	The aircraft is in the water	The base is wet	disjoint	org
4	4	1	The base is in the water	The aircraft is wet	disjoint	org
4	4	2	A aircraft is outside near a campfire at night	There is a base outside	disjoint	org
4	4	2	A base is outside near a campfire at night	There is a aircraft outside	disjoint	org
4	4	3	A young woman is looking at a aircraft with a binocular	A base is looked at by a woman	disjoint	org
4	4	3	A young woman is looking at a base with a binocular	A aircraft is looked at by a woman	disjoint	org
4	4	4	Several people are moving towards the aircraft	There is a group of people near the base	disjoint	org
4	4	4	Several people are moving towards the base	There is a group of people near the aircraft	disjoint	org
4	4	5	A bald man standing to the side of a aircraft	The man stands near a base.	disjoint	org
4	4	5	A bald man standing to the side of a base	The man stands near a aircraft.	disjoint	org
4	4	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a base	disjoint	org
4	4	6	A kid fetches a base by a tree in the yard.	a kid gets a aircraft	disjoint	org
4	4	7	A green frog buys a aircraft from a stand.	There is a green frog buying a base	disjoint	org
4	4	7	A green frog buys a base from a stand.	There is a green frog buying a aircraft	disjoint	org
4	4	8	A aircraft	A base	disjoint	org
4	4	8	A base	A aircraft	disjoint	org
5	4	0	The aircraft is photographed with a camera	There is a power bases present	disjoint	add
5	4	0	The power bases is photographed with a camera	There is a aircraft present	disjoint	add
5	4	1	The aircraft is in the water	The power bases is wet	disjoint	add
5	4	1	The power bases is in the water	The aircraft is wet	disjoint	add
5	4	2	A aircraft is outside near a campfire at night	There is a power bases outside	disjoint	add
5	4	2	A power bases is outside near a campfire at night	There is a aircraft outside	disjoint	add
5	4	3	A young woman is looking at a aircraft with a binocular	A power bases is looked at by a woman	disjoint	add
5	4	3	A young woman is looking at a power bases with a binocular	A aircraft is looked at by a woman	disjoint	add
5	4	4	Several people are moving towards the aircraft	There is a group of people near the power bases	disjoint	add
5	4	4	Several people are moving towards the power bases	There is a group of people near the aircraft	disjoint	add
5	4	5	A bald man standing to the side of a aircraft	The man stands near a power bases.	disjoint	add
5	4	5	A bald man standing to the side of a power bases	The man stands near a aircraft.	disjoint	add
5	4	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a power bases	disjoint	add
5	4	6	A kid fetches a power bases by a tree in the yard.	a kid gets a aircraft	disjoint	add
5	4	7	A green frog buys a aircraft from a stand.	There is a green frog buying a power bases	disjoint	add
5	4	7	A green frog buys a power bases from a stand.	There is a green frog buying a aircraft	disjoint	add
5	4	8	A aircraft	A power bases	disjoint	add
5	4	8	A power bases	A aircraft	disjoint	add
6	5	0	The aircraft is photographed with a camera	There is a plane present	reverseentailment	org
6	5	0	The plane is photographed with a camera	There is a aircraft present	reverseentailment	org
6	5	1	The aircraft is in the water	The plane is wet	reverseentailment	org
6	5	1	The plane is in the water	The aircraft is wet	reverseentailment	org
6	5	2	A aircraft is outside near a campfire at night	There is a plane outside	reverseentailment	org
6	5	2	A plane is outside near a campfire at night	There is a aircraft outside	reverseentailment	org
6	5	3	A young woman is looking at a aircraft with a binocular	A plane is looked at by a woman	reverseentailment	org
6	5	3	A young woman is looking at a plane with a binocular	A aircraft is looked at by a woman	reverseentailment	org
6	5	4	Several people are moving towards the aircraft	There is a group of people near the plane	reverseentailment	org
6	5	4	Several people are moving towards the plane	There is a group of people near the aircraft	reverseentailment	org
6	5	5	A bald man standing to the side of a aircraft	The man stands near a plane.	reverseentailment	org
6	5	5	A bald man standing to the side of a plane	The man stands near a aircraft.	reverseentailment	org
6	5	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a plane	reverseentailment	org
6	5	6	A kid fetches a plane by a tree in the yard.	a kid gets a aircraft	reverseentailment	org
6	5	7	A green frog buys a aircraft from a stand.	There is a green frog buying a plane	reverseentailment	org
6	5	7	A green frog buys a plane from a stand.	There is a green frog buying a aircraft	reverseentailment	org
6	5	8	A aircraft	A plane	reverseentailment	org
6	5	8	A plane	A aircraft	reverseentailment	org
7	5	0	The aircraft is photographed with a camera	There is a spy plane present	reverseentailment	add
7	5	0	The spy plane is photographed with a camera	There is a aircraft present	reverseentailment	add
7	5	1	The aircraft is in the water	The spy plane is wet	reverseentailment	add
7	5	1	The spy plane is in the water	The aircraft is wet	reverseentailment	add
7	5	2	A aircraft is outside near a campfire at night	There is a spy plane outside	reverseentailment	add
7	5	2	A spy plane is outside near a campfire at night	There is a aircraft outside	reverseentailment	add
7	5	3	A young woman is looking at a aircraft with a binocular	A spy plane is looked at by a woman	reverseentailment	add
7	5	3	A young woman is looking at a spy plane with a binocular	A aircraft is looked at by a woman	reverseentailment	add
7	5	4	Several people are moving towards the aircraft	There is a group of people near the spy plane	reverseentailment	add
7	5	4	Several people are moving towards the spy plane	There is a group of people near the aircraft	reverseentailment	add
7	5	5	A bald man standing to the side of a aircraft	The man stands near a spy plane.	reverseentailment	add
7	5	5	A bald man standing to the side of a spy plane	The man stands near a aircraft.	reverseentailment	add
7	5	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a spy plane	reverseentailment	add
7	5	6	A kid fetches a spy plane by a tree in the yard.	a kid gets a aircraft	reverseentailment	add
7	5	7	A green frog buys a aircraft from a stand.	There is a green frog buying a spy plane	reverseentailment	add
7	5	7	A green frog buys a spy plane from a stand.	There is a green frog buying a aircraft	reverseentailment	add
7	5	8	A aircraft	A spy plane	reverseentailment	add
7	5	8	A spy plane	A aircraft	reverseentailment	add
8	6	0	The air is photographed with a camera	There is a airplane present	disjoint	org
8	6	0	The airplane is photographed with a camera	There is a air present	disjoint	org
8	6	1	The air is in the water	The airplane is wet	disjoint	org
8	6	1	The airplane is in the water	The air is wet	disjoint	org
8	6	2	A air is outside near a campfire at night	There is a airplane outside	disjoint	org
8	6	2	A airplane is outside near a campfire at night	There is a air outside	disjoint	org
8	6	3	A young woman is looking at a air with a binocular	A airplane is looked at by a woman	disjoint	org
8	6	3	A young woman is looking at a airplane with a binocular	A air is looked at by a woman	disjoint	org
8	6	4	Several people are moving towards the air	There is a group of people near the airplane	disjoint	org
8	6	4	Several people are moving towards the airplane	There is a group of people near the air	disjoint	org
8	6	5	A bald man standing to the side of a air	The man stands near a airplane.	disjoint	org
8	6	5	A bald man standing to the side of a airplane	The man stands near a air.	disjoint	org
8	6	6	A kid fetches a air by a tree in the yard.	a kid gets a airplane	disjoint	org
8	6	6	A kid fetches a airplane by a tree in the yard.	a kid gets a air	disjoint	org
8	6	7	A green frog buys a air from a stand.	There is a green frog buying a airplane	disjoint	org
8	6	7	A green frog buys a airplane from a stand.	There is a green frog buying a air	disjoint	org
8	6	8	A air	A airplane	disjoint	org
8	6	8	A airplane	A air	disjoint	org
9	6	0	The airplane home is photographed with a camera	There is a air present	disjoint	add
9	6	0	The air is photographed with a camera	There is a airplane home present	disjoint	add
9	6	1	The airplane home is in the water	The air is wet	disjoint	add
9	6	1	The air is in the water	The airplane home is wet	disjoint	add
9	6	2	A airplane home is outside near a campfire at night	There is a air outside	disjoint	add
9	6	2	A air is outside near a campfire at night	There is a airplane home outside	disjoint	add
9	6	3	A young woman is looking at a airplane home with a binocular	A air is looked at by a woman	disjoint	add
9	6	3	A young woman is looking at a air with a binocular	A airplane home is looked at by a woman	disjoint	add
9	6	4	Several people are moving towards the airplane home	There is a group of people near the air	disjoint	add
9	6	4	Several people are moving towards the air	There is a group of people near the airplane home	disjoint	add
9	6	5	A bald man standing to the side of a airplane home	The man stands near a air.	disjoint	add
9	6	5	A bald man standing to the side of a air	The man stands near a airplane home.	disjoint	add
9	6	6	A kid fetches a airplane home by a tree in the yard.	a kid gets a air	disjoint	add
9	6	6	A kid fetches a air by a tree in the yard.	a kid gets a airplane home	disjoint	add
9	6	7	A green frog buys a airplane home from a stand.	There is a green frog buying a air	disjoint	add
9	6	7	A green frog buys a air from a stand.	There is a green frog buying a airplane home	disjoint	add
9	6	8	A airplane home	A air	disjoint	add
9	6	8	A air	A airplane home	disjoint	add
10	8	0	The animal is photographed with a camera	There is a cat present	reverseentailment	org
10	8	0	The cat is photographed with a camera	There is a animal present	reverseentailment	org
10	8	1	The animal is in the water	The cat is wet	reverseentailment	org
10	8	1	The cat is in the water	The animal is wet	reverseentailment	org
10	8	2	A animal is outside near a campfire at night	There is a cat outside	reverseentailment	org
10	8	2	A cat is outside near a campfire at night	There is a animal outside	reverseentailment	org
10	8	3	A young woman is looking at a animal with a binocular	A cat is looked at by a woman	reverseentailment	org
10	8	3	A young woman is looking at a cat with a binocular	A animal is looked at by a woman	reverseentailment	org
10	8	4	Several people are moving towards the animal	There is a group of people near the cat	reverseentailment	org
10	8	4	Several people are moving towards the cat	There is a group of people near the animal	reverseentailment	org
10	8	5	A bald man standing to the side of a animal	The man stands near a cat.	reverseentailment	org
10	8	5	A bald man standing to the side of a cat	The man stands near a animal.	reverseentailment	org
10	8	6	A kid fetches a animal by a tree in the yard.	a kid gets a cat	reverseentailment	org
