	W1	W2	pred
0	man	boy	disjoint
1	man	outdoors	independent
2	man	boy playing outdoors	disjoint
3	man	man smiling	independent
4	boys	boy	synonym
5	boys	man	disjoint
6	boys	outdoors	independent
7	boys	boy playing outdoors	independent
8	boys	man smiling	disjoint
9	outdoors	boy	independent
10	outdoors	man	independent
11	outdoors	boy playing outdoors	reverseentailment
12	outdoors	man smiling	independent
13	young boys	boy	independent
14	young boys	man	disjoint
15	young boys	outdoors	independent
16	young boys	boy playing outdoors	independent
17	young boys	man smiling	disjoint
18	playing	smiling	independent
19	smiling	playing	independent
20	jacket	bicycle	disjoint
21	jacket	person	disjoint
22	jacket	wheel	disjoint
23	jacket	one wheel	disjoint
24	jacket	skilled person	independent
25	motorbike	bicycle	disjoint
26	motorbike	person	disjoint
27	motorbike	wheel	independent
28	motorbike	one wheel	independent
29	motorbike	skilled person	independent
30	person	bicycle	disjoint
31	person	wheel	disjoint
32	person	one wheel	disjoint
33	person	skilled person	independent
34	tricks	bicycle	independent
35	tricks	person	independent
36	tricks	wheel	disjoint
37	tricks	one wheel	independent
38	tricks	skilled person	independent
39	black jacket	bicycle	disjoint
40	black jacket	person	independent
41	black jacket	wheel	disjoint
42	black jacket	one wheel	disjoint
43	black jacket	skilled person	independent
44	doing	riding	reverseentailment
45	black	on one wheel	independent
46	black	skilled	independent
47	on a motorbike	on one wheel	independent
48	on a motorbike	skilled	independent
49	gym	backbends	independent
50	gym	girls	independent
51	gym	outdoors	disjoint
52	gym	Four girls	independent
53	backbends	girls	independent
54	backbends	outdoors	disjoint
55	backbends	Four girls	independent
56	children	backbends	disjoint
57	children	girls	reverseentailment
58	children	outdoors	independent
59	children	Four girls	independent
60	Four children	backbends	disjoint
61	Four children	girls	independent
62	Four children	outdoors	independent
63	Four children	Four girls	independent
64	doing	playing	reverseentailment
65	ball	football	reverseentailment
66	ball	match	independent
67	ball	teams	independent
68	ball	Two teams	independent
69	ball	football match	independent
70	player	football	independent
71	player	match	independent
72	player	teams	independent
73	player	Two teams	independent
74	player	football match	independent
75	throwing	competing	independent
76	front	hut	independent
77	front	children	independent
78	front	Five children	independent
79	front	wooden hut	independent
80	hut	children	independent
81	hut	Five children	independent
82	hut	wooden hut	reverseentailment
83	children	hut	independent
84	children	Five children	independent
85	children	wooden hut	independent
86	Five children	hut	independent
87	Five children	children	forwardentailment
88	Five children	wooden hut	independent
89	wooden hut	hut	forwardentailment
90	wooden hut	children	independent
91	wooden hut	Five children	independent
92	wooden	in a wooden hut	independent
93	restaurant	group	independent
94	restaurant	people	independent
95	restaurant	Asian people	independent
96	restaurant	group of Asian people	independent
97	lights	group	independent
98	lights	restaurant	independent
99	lights	people	disjoint
100	lights	Asian people	independent
101	lights	group of Asian people	independent
102	people	group	forwardentailment
103	people	restaurant	independent
104	people	Asian people	reverseentailment
105	people	group of Asian people	reverseentailment
106	tables	group	independent
107	tables	restaurant	independent
108	tables	people	disjoint
109	tables	Asian people	independent
110	tables	group of Asian people	independent
111	Few people	group	independent
112	Few people	restaurant	independent
113	Few people	people	independent
114	Few people	Asian people	independent
115	Few people	group of Asian people	independent
116	red tables	group	independent
117	red tables	restaurant	independent
118	red tables	people	disjoint
119	red tables	Asian people	independent
120	red tables	group of Asian people	independent
121	in a restaurant	Asian	independent
122	in a restaurant	large	independent
123	in a restaurant	at a restaurant	synonym
124	without lights	Asian	independent
125	without lights	large	independent
