CombID	SenID	templatenum	prem	hyp	top1	top1_score	top2	top2_score	top3	top3_score
1	4	0	The man is photographed with a camera	There is a boy present	neutral	0.4793195128440857	entailment	0.2819266617298126	contradiction	0.23875388503074646
1	4	0	The boy is photographed with a camera	There is a man present	neutral	0.4824945628643036	entailment	0.2789725363254547	contradiction	0.2385329008102417
1	4	1	The man is in the water	The boy is wet	entailment	0.6322702765464783	neutral	0.2957032322883606	contradiction	0.07202647626399994
1	4	1	The boy is in the water	The man is wet	entailment	0.5909978151321411	contradiction	0.2833813428878784	neutral	0.1256207376718521
1	4	2	A man is outside near a campfire at night	There is a boy outside	neutral	0.5945281386375427	entailment	0.34974759817123413	contradiction	0.055724263191223145
1	4	2	A boy is outside near a campfire at night	There is a man outside	entailment	0.7914862036705017	contradiction	0.11323060840368271	neutral	0.09528308361768723
1	4	3	A young woman is looking at a man with a binocular	A boy is looked at by a woman	neutral	0.48019978404045105	entailment	0.3621700406074524	contradiction	0.15763016045093536
1	4	3	A young woman is looking at a boy with a binocular	A man is looked at by a woman	entailment	0.7058964371681213	neutral	0.20405222475528717	contradiction	0.09005129337310791
1	4	4	Several people are moving towards the man	There is a group of people near the boy	neutral	0.5257865786552429	entailment	0.3851330280303955	contradiction	0.08908037096261978
1	4	4	Several people are moving towards the boy	There is a group of people near the man	entailment	0.8567735552787781	neutral	0.12973666191101074	contradiction	0.013489823788404465
1	4	5	A bald man standing to the side of a man	The man stands near a boy.	neutral	0.6180514693260193	contradiction	0.3412112891674042	entailment	0.040737200528383255
1	4	5	A bald man standing to the side of a boy	The man stands near a man.	entailment	0.524340033531189	neutral	0.2504425346851349	contradiction	0.22521743178367615
1	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boy	neutral	0.8306689858436584	entailment	0.14022642374038696	contradiction	0.02910456620156765
1	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a man	contradiction	0.44905516505241394	neutral	0.2945496439933777	entailment	0.2563951909542084
1	4	7	A green frog buys a man from a stand.	There is a green frog buying a boy	neutral	0.6891870498657227	entailment	0.22005295753479004	contradiction	0.0907600149512291
1	4	7	A green frog buys a boy from a stand.	There is a green frog buying a man	entailment	0.39125561714172363	neutral	0.3190501034259796	contradiction	0.28969427943229675
1	4	8	A man	A boy	contradiction	0.9020988345146179	neutral	0.06870231032371521	entailment	0.029198843985795975
1	4	8	A boy	A man	contradiction	0.9323033094406128	neutral	0.0366232767701149	entailment	0.03107338212430477
