CombID	SenID	templatenum	prem	hyp	label	top1	top1_score	top2	top2_score	top3	top3_score
1	2	0	The adult is photographed with a camera	There is a child present	alternation	neutral	0.8425515294075012	contradiction	0.13947290182113647	entailment	0.01797563023865223
1	2	0	The child is photographed with a camera	There is a adult present	alternation	neutral	0.8251809477806091	entailment	0.1305033564567566	contradiction	0.044315773993730545
1	2	1	The adult is in the water	The child is wet	alternation	neutral	0.5735008716583252	entailment	0.4202715754508972	contradiction	0.006227564066648483
1	2	1	The child is in the water	The adult is wet	alternation	neutral	0.7319700717926025	entailment	0.2501066327095032	contradiction	0.01792328804731369
1	2	2	A adult is outside near a campfire at night	There is a child outside	alternation	neutral	0.6183094382286072	contradiction	0.3764374852180481	entailment	0.005253029055893421
1	2	2	A child is outside near a campfire at night	There is a adult outside	alternation	contradiction	0.8071827292442322	neutral	0.1699720174074173	entailment	0.02284528687596321
1	2	3	A young woman is looking at a adult with a binocular	A child is looked at by a woman	alternation	contradiction	0.4607575833797455	neutral	0.4485996663570404	entailment	0.09064268320798874
1	2	3	A young woman is looking at a child with a binocular	A adult is looked at by a woman	alternation	contradiction	0.9610382914543152	entailment	0.023449083790183067	neutral	0.015512609854340553
1	2	4	Several people are moving towards the adult	There is a group of people near the child	alternation	contradiction	0.8228888511657715	neutral	0.16574609279632568	entailment	0.011365100741386414
1	2	4	Several people are moving towards the child	There is a group of people near the adult	alternation	contradiction	0.8765791058540344	neutral	0.09195689111948013	entailment	0.031463976949453354
1	2	5	A bald man standing to the side of a adult	The man stands near a child.	alternation	contradiction	0.611503541469574	neutral	0.3192394971847534	entailment	0.06925699859857559
1	2	5	A bald man standing to the side of a child	The man stands near a adult.	alternation	contradiction	0.8786453604698181	entailment	0.08251076936721802	neutral	0.03884392976760864
1	2	6	A kid fetches a adult by a tree in the yard.	a kid gets a child	alternation	contradiction	0.7461469173431396	entailment	0.1996966451406479	neutral	0.054156478494405746
1	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adult	alternation	contradiction	0.951481282711029	entailment	0.040122274309396744	neutral	0.008396468125283718
1	2	7	A green frog buys a adult from a stand.	There is a green frog buying a child	alternation	contradiction	0.6693315505981445	entailment	0.20301604270935059	neutral	0.1276523768901825
1	2	7	A green frog buys a child from a stand.	There is a green frog buying a adult	alternation	contradiction	0.7036548852920532	entailment	0.28271496295928955	neutral	0.013630171306431293
1	2	8	A adult	A child	alternation	contradiction	0.9944614171981812	neutral	0.005239616148173809	entailment	0.00029899732908234
1	2	8	A child	A adult	alternation	contradiction	0.9945327043533325	neutral	0.004843970760703087	entailment	0.0006233667954802513
2	2	0	The adults worldwide is photographed with a camera	There is a child present	alternation	contradiction	0.6601935625076294	neutral	0.3254091739654541	entailment	0.01439729891717434
2	2	0	The child is photographed with a camera	There is a adults worldwide present	alternation	contradiction	0.5443423986434937	neutral	0.3615722358226776	entailment	0.09408535808324814
2	2	1	The adults worldwide is in the water	The child is wet	alternation	entailment	0.7237913608551025	neutral	0.24414657056331635	contradiction	0.03206206113100052
2	2	1	The child is in the water	The adults worldwide is wet	alternation	neutral	0.8435791730880737	contradiction	0.12227481603622437	entailment	0.03414597362279892
2	2	2	A adults worldwide is outside near a campfire at night	There is a child outside	alternation	contradiction	0.8096083402633667	neutral	0.1835896223783493	entailment	0.006801973097026348
2	2	2	A child is outside near a campfire at night	There is a adults worldwide outside	alternation	contradiction	0.9637491106987	neutral	0.02547747828066349	entailment	0.010773474350571632
2	2	3	A young woman is looking at a adults worldwide with a binocular	A child is looked at by a woman	alternation	contradiction	0.8207037448883057	neutral	0.13301022350788116	entailment	0.04628610238432884
2	2	3	A young woman is looking at a child with a binocular	A adults worldwide is looked at by a woman	alternation	contradiction	0.9481186866760254	neutral	0.040212348103523254	entailment	0.011669022031128407
2	2	4	Several people are moving towards the adults worldwide	There is a group of people near the child	alternation	contradiction	0.821557879447937	neutral	0.13750523328781128	entailment	0.0409369096159935
2	2	4	Several people are moving towards the child	There is a group of people near the adults worldwide	alternation	contradiction	0.8041756749153137	neutral	0.18255825340747833	entailment	0.013266127556562424
2	2	5	A bald man standing to the side of a adults worldwide	The man stands near a child.	alternation	contradiction	0.7530467510223389	neutral	0.19223327934741974	entailment	0.054719943553209305
2	2	5	A bald man standing to the side of a child	The man stands near a adults worldwide.	alternation	contradiction	0.9721106290817261	neutral	0.018288535997271538	entailment	0.00960081722587347
2	2	6	A kid fetches a adults worldwide by a tree in the yard.	a kid gets a child	alternation	entailment	0.5934811234474182	contradiction	0.3281856179237366	neutral	0.07833319902420044
2	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adults worldwide	alternation	contradiction	0.9950212240219116	neutral	0.003309129271656275	entailment	0.0016696396050974727
