	W1	W2	pred
0	background	group	independent
1	background	man	independent
2	background	yard	independent
3	background	boys	independent
4	background	boys in a yard	independent
5	group	background	independent
6	group	man	independent
7	group	yard	independent
8	group	boys	independent
9	group	boys in a yard	independent
10	man	background	independent
11	man	group	independent
12	man	yard	independent
13	man	boys	disjoint
14	man	boys in a yard	independent
15	yard	background	independent
16	yard	group	independent
17	yard	man	independent
18	yard	boys	independent
19	yard	boys in a yard	independent
20	kids	background	independent
21	kids	group	independent
22	kids	man	disjoint
23	kids	yard	independent
24	kids	boys	reverseentailment
25	kids	boys in a yard	independent
26	group of kids	background	independent
27	group of kids	group	independent
28	group of kids	man	independent
29	group of kids	yard	independent
30	group of kids	boys	independent
31	group of kids	boys in a yard	independent
32	old man	background	independent
33	old man	group	independent
34	old man	man	forwardentailment
35	old man	yard	independent
36	old man	boys	disjoint
37	old man	boys in a yard	disjoint
38	playing	standing	disjoint
39	standing	playing	independent
40	in a yard	in the background	independent
41	old	in the background	independent
42	background	kids	independent
43	background	group of kids	independent
44	background	old man	independent
45	group	kids	independent
46	group	group of kids	independent
47	group	old man	independent
48	house	background	independent
49	house	group	independent
50	house	man	independent
51	house	yard	independent
52	house	kids	independent
53	house	group of kids	independent
54	house	old man	independent
55	man	kids	independent
56	man	group of kids	independent
57	man	old man	independent
58	children	background	independent
59	children	group	independent
60	children	man	disjoint
61	children	yard	independent
62	children	kids	synonym
63	children	group of kids	synonym
64	children	old man	disjoint
65	group of children	background	independent
66	group of children	group	independent
67	group of children	man	disjoint
68	group of children	yard	independent
69	group of children	kids	synonym
70	group of children	group of kids	synonym
71	group of children	old man	disjoint
72	in the house	in a yard	disjoint
73	in the house	old	independent
74	in the house	in the background	independent
75	in the background	in a yard	independent
76	in the background	old	independent
77	man	smile	independent
78	man	outdoors	independent
79	man	man with a smile	independent
80	boys	man	disjoint
81	boys	smile	independent
82	boys	kids	forwardentailment
83	boys	outdoors	independent
84	boys	man with a smile	independent
85	outdoors	man	independent
86	outdoors	smile	independent
87	outdoors	kids	independent
88	outdoors	man with a smile	independent
89	young boys	man	disjoint
90	young boys	smile	independent
91	young boys	kids	forwardentailment
92	young boys	outdoors	independent
93	young boys	man with a smile	independent
94	smiling	playing	independent
95	smile	background	independent
96	smile	group	independent
97	smile	man	independent
98	smile	yard	independent
99	smile	kids	independent
100	smile	group of kids	independent
101	smile	old man	independent
102	kids	group of kids	independent
103	kids	old man	disjoint
104	outdoors	background	disjoint
105	outdoors	group	independent
106	outdoors	yard	reverseentailment
107	outdoors	group of kids	independent
108	outdoors	old man	independent
109	man with a smile	background	independent
110	man with a smile	group	independent
111	man with a smile	man	independent
112	man with a smile	yard	independent
113	man with a smile	kids	independent
114	man with a smile	group of kids	independent
115	man with a smile	old man	independent
116	boys	background	disjoint
117	boys	group	independent
118	boys	yard	independent
119	boys	group of kids	independent
120	boys	old man	disjoint
121	young boys	background	independent
122	young boys	group	independent
123	young boys	yard	independent
124	young boys	group of kids	independent
125	young boys	old man	disjoint
126	smiling	standing	independent
127	young	in a yard	independent
128	young	old	disjoint
129	young	in the background	independent
130	dogs	Two dogs	independent
131	Two dogs	dogs	independent
132	fighting	hugging	disjoint
133	fighting	wrestling	reverseentailment
134	animal	dogs	reverseentailment
135	animal	Two dogs	reverseentailment
136	dog	dogs	forwardentailment
137	dog	Two dogs	independent
138	front	dogs	independent
139	front	Two dogs	independent
140	man	dogs	disjoint
141	man	Two dogs	disjoint
142	pants	dogs	disjoint
143	pants	Two dogs	disjoint
144	brown dog	dogs	forwardentailment
145	brown dog	Two dogs	independent
146	front of the man	dogs	independent
147	front of the man	Two dogs	independent
148	attacking	fighting	synonym
149	attacking	hugging	disjoint
150	attacking	wrestling	independent
151	bicycle	jacket	disjoint
152	bicycle	motorbike	disjoint
153	bicycle	person	disjoint
154	bicycle	tricks	independent
155	bicycle	black jacket	independent
156	wheel	jacket	disjoint
157	wheel	motorbike	independent
158	wheel	person	disjoint
159	wheel	tricks	independent
160	wheel	black jacket	disjoint
161	one wheel	jacket	disjoint
162	one wheel	motorbike	independent
163	one wheel	person	disjoint
164	one wheel	tricks	independent
165	one wheel	black jacket	independent
166	riding	doing	forwardentailment
167	on one wheel	black	independent
168	on one wheel	on a motorbike	independent
169	bicycle	man	independent
170	person	jacket	independent
171	person	man	reverseentailment
172	person	motorbike	disjoint
173	person	tricks	independent
174	person	black jacket	independent
175	wheel	man	independent
176	one wheel	man	independent
177	jacket	bicycle	disjoint
178	jacket	person	disjoint
179	jacket	wheel	disjoint
180	jacket	one wheel	disjoint
181	motorbike	bicycle	disjoint
182	motorbike	person	disjoint
183	motorbike	wheel	independent
184	motorbike	one wheel	independent
185	person	bicycle	disjoint
186	person	wheel	disjoint
187	person	one wheel	disjoint
188	tricks	bicycle	independent
189	tricks	person	independent
190	tricks	wheel	disjoint
191	tricks	one wheel	independent
192	black motorbike	bicycle	disjoint
193	black motorbike	person	disjoint
194	black motorbike	wheel	independent
195	black motorbike	one wheel	independent
196	doing	riding	reverseentailment
197	black	on one wheel	independent
198	with a jacket	on one wheel	independent
199	ball	basketball	reverseentailment
200	ball	game	independent
201	ball	jersey	independent
202	ball	man	independent
203	ball	basketball game	independent
204	ball	man with a jersey	independent
205	basketball	ball	forwardentailment
206	basketball	game	independent
207	basketball	jersey	independent
208	basketball	man	independent
209	basketball	basketball game	independent
210	basketball	man with a jersey	independent
211	game	ball	independent
212	game	basketball	independent
213	game	jersey	independent
214	game	man	independent
215	game	basketball game	reverseentailment
216	game	man with a jersey	independent
217	jersey	ball	disjoint
218	jersey	basketball	disjoint
219	jersey	game	independent
220	jersey	man	independent
221	jersey	basketball game	independent
222	jersey	man with a jersey	independent
223	man	ball	disjoint
224	man	basketball	independent
225	man	game	independent
226	man	jersey	independent
227	man	basketball game	independent
228	man	man with a jersey	independent
229	basketball game	ball	independent
230	basketball game	basketball	independent
231	basketball game	game	forwardentailment
232	basketball game	jersey	independent
233	basketball game	man	independent
234	basketball game	man with a jersey	independent
235	man with a jersey	ball	independent
236	man with a jersey	basketball	independent
237	man with a jersey	game	independent
238	man with a jersey	jersey	independent
239	man with a jersey	man	independent
240	man with a jersey	basketball game	independent
241	dunking	being	independent
242	dunking	dunked	synonym
243	ball	background	independent
244	ball	crowd	independent
245	ball	net	independent
246	ball	dunks	independent
247	basketball	background	independent
248	basketball	crowd	independent
249	basketball	net	independent
250	basketball	dunks	independent
251	game	background	independent
252	game	crowd	independent
253	game	net	independent
254	game	dunks	independent
255	jersey	background	independent
256	jersey	crowd	independent
257	jersey	net	independent
258	jersey	dunks	disjoint
259	man	crowd	disjoint
260	man	net	independent
261	man	dunks	independent
262	basketball game	background	independent
263	basketball game	crowd	independent
264	basketball game	net	independent
265	basketball game	dunks	independent
266	man with a jersey	background	disjoint
267	man with a jersey	crowd	independent
268	man with a jersey	net	independent
