CombID	ProbID	merge_tag	W1_tag	W2_tag	W1	W2	L1	L2
1	4	NP	NNS	NN	boys	boy	boy	boy
2	4	NP	NNS	NNS	boys	outdoors	boy	outdoors
3	4	NP	NNS	NN	boys	man	boy	man
4	4	NP	NNS	n	boys	boy playing outdoors	boy	boy play outdoors
5	4	NP	NNS	n	boys	man smiling	boy	man smile
6	4	VP	VBG	VBG	playing	smiling	play	smile
7	4	NP	NNS	NN	outdoors	boy	outdoors	boy
8	4	NP	NNS	NN	outdoors	man	outdoors	man
9	4	NP	NNS	n	outdoors	boy playing outdoors	outdoors	boy play outdoors
10	4	NP	NNS	n	outdoors	man smiling	outdoors	man smile
11	4	NP	NN	NN	man	boy	man	boy
12	4	NP	NN	NNS	man	outdoors	man	outdoors
13	4	NP	NN	n	man	boy playing outdoors	man	boy play outdoors
14	4	NP	NN	n	man	man smiling	man	man smile
15	4	VP	VBG	VBG	smiling	playing	smile	play
16	4	NP	n	NN	young boys	boy	young boy	boy
17	4	NP	n	NNS	young boys	outdoors	young boy	outdoors
18	4	NP	n	NN	young boys	man	young boy	man
19	4	NP	n	n	young boys	boy playing outdoors	young boy	boy play outdoors
20	4	NP	n	n	young boys	man smiling	young boy	man smile
21	24	NP	NN	NN	person	bicycle	person	bicycle
22	24	NP	NN	NN	person	wheel	person	wheel
23	24	NP	NN	n	person	skilled person	person	skilled person
24	24	NP	NN	n	person	one wheel	person	one wheel
25	24	phrasal_JJ	JJ	JJ	black	skilled	black	skilled
26	24	NP	NN	NN	jacket	person	jacket	person
27	24	NP	NN	NN	jacket	bicycle	jacket	bicycle
28	24	NP	NN	NN	jacket	wheel	jacket	wheel
29	24	NP	NN	n	jacket	skilled person	jacket	skilled person
30	24	NP	NN	n	jacket	one wheel	jacket	one wheel
31	24	VP	VBG	VBG	doing	riding	do	ride
32	24	NP	NNS	NN	tricks	person	trick	person
33	24	NP	NNS	NN	tricks	bicycle	trick	bicycle
34	24	NP	NNS	NN	tricks	wheel	trick	wheel
35	24	NP	NNS	n	tricks	skilled person	trick	skilled person
36	24	NP	NNS	n	tricks	one wheel	trick	one wheel
37	24	NP	NN	NN	motorbike	person	motorbike	person
38	24	NP	NN	NN	motorbike	bicycle	motorbike	bicycle
39	24	NP	NN	NN	motorbike	wheel	motorbike	wheel
40	24	NP	NN	n	motorbike	skilled person	motorbike	skilled person
41	24	NP	NN	n	motorbike	one wheel	motorbike	one wheel
42	24	NP	n	NN	person in a black jacket	person	person in a black jacket	person
43	24	NP	n	NN	person in a black jacket	bicycle	person in a black jacket	bicycle
44	24	NP	n	NN	person in a black jacket	wheel	person in a black jacket	wheel
45	24	NP	n	n	person in a black jacket	skilled person	person in a black jacket	skilled person
46	24	NP	n	n	person in a black jacket	one wheel	person in a black jacket	one wheel
47	24	NP	n	NN	black jacket	person	black jacket	person
