CombID	SenID	templatenum	prem	hyp	top1	top1_score	top2	top2_score	top3	top3_score
1	4	0	The man is photographed with a camera	There is a boy present	neutral	0.9653308391571045	contradiction	0.021452030166983604	entailment	0.013217074796557426
1	4	0	The boy is photographed with a camera	There is a man present	neutral	0.8867664933204651	entailment	0.10206582397222519	contradiction	0.011167705990374088
1	4	1	The man is in the water	The boy is wet	neutral	0.9148886799812317	entailment	0.08337505161762238	contradiction	0.001736306818202138
1	4	1	The boy is in the water	The man is wet	neutral	0.9478939175605774	entailment	0.048328034579753876	contradiction	0.0037781167775392532
1	4	2	A man is outside near a campfire at night	There is a boy outside	neutral	0.8082212805747986	contradiction	0.1876220405101776	entailment	0.00415670545771718
1	4	2	A boy is outside near a campfire at night	There is a man outside	neutral	0.546723484992981	contradiction	0.43349242210388184	entailment	0.019784139469265938
1	4	3	A young woman is looking at a man with a binocular	A boy is looked at by a woman	entailment	0.4808260202407837	neutral	0.45510077476501465	contradiction	0.06407324969768524
1	4	3	A young woman is looking at a boy with a binocular	A man is looked at by a woman	entailment	0.9823703765869141	neutral	0.01525874249637127	contradiction	0.0023708289954811335
1	4	4	Several people are moving towards the man	There is a group of people near the boy	contradiction	0.7884125113487244	neutral	0.2022830992937088	entailment	0.009304354898631573
1	4	4	Several people are moving towards the boy	There is a group of people near the man	contradiction	0.6029462218284607	neutral	0.23282946646213531	entailment	0.16422434151172638
1	4	5	A bald man standing to the side of a man	The man stands near a boy.	neutral	0.761136531829834	contradiction	0.19217151403427124	entailment	0.04669197276234627
1	4	5	A bald man standing to the side of a boy	The man stands near a man.	entailment	0.3801600933074951	contradiction	0.3373679518699646	neutral	0.2824719548225403
1	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boy	neutral	0.5156028866767883	contradiction	0.4243009686470032	entailment	0.06009611859917641
1	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a man	contradiction	0.5438553094863892	entailment	0.4064541757106781	neutral	0.04969054460525513
1	4	7	A green frog buys a man from a stand.	There is a green frog buying a boy	contradiction	0.8229939937591553	neutral	0.12983717024326324	entailment	0.04716886952519417
1	4	7	A green frog buys a boy from a stand.	There is a green frog buying a man	entailment	0.6622018814086914	contradiction	0.3201652765274048	neutral	0.01763278618454933
1	4	8	A man	A boy	neutral	0.5341182351112366	contradiction	0.46343672275543213	entailment	0.002445047255605459
1	4	8	A boy	A man	contradiction	0.8416653871536255	neutral	0.15434947609901428	entailment	0.003985178656876087
2	4	0	The man is photographed with a camera	There is a outdoors present	neutral	0.811638593673706	contradiction	0.10753858834505081	entailment	0.08082283288240433
2	4	0	The outdoors is photographed with a camera	There is a man present	neutral	0.9383888840675354	entailment	0.058614421635866165	contradiction	0.0029967662412673235
2	4	1	The man is in the water	The outdoors is wet	entailment	0.8553919196128845	neutral	0.1427353024482727	contradiction	0.0018727886490523815
2	4	1	The outdoors is in the water	The man is wet	neutral	0.8727260828018188	entailment	0.12609615921974182	contradiction	0.0011778217740356922
2	4	2	A man is outside near a campfire at night	There is a outdoors outside	entailment	0.9785138964653015	neutral	0.017733134329319	contradiction	0.0037528821267187595
2	4	2	A outdoors is outside near a campfire at night	There is a man outside	neutral	0.9922930002212524	entailment	0.0072481753304600716	contradiction	0.00045880384277552366
2	4	3	A young woman is looking at a man with a binocular	A outdoors is looked at by a woman	entailment	0.7875005006790161	neutral	0.20478755235671997	contradiction	0.007711905986070633
2	4	3	A young woman is looking at a outdoors with a binocular	A man is looked at by a woman	neutral	0.9488223791122437	entailment	0.03594514727592468	contradiction	0.015232386067509651
2	4	4	Several people are moving towards the man	There is a group of people near the outdoors	neutral	0.568356990814209	entailment	0.42455509305000305	contradiction	0.007087946403771639
2	4	4	Several people are moving towards the outdoors	There is a group of people near the man	neutral	0.9658796787261963	entailment	0.030887655913829803	contradiction	0.0032327682711184025
2	4	5	A bald man standing to the side of a man	The man stands near a outdoors.	neutral	0.7034552693367004	entailment	0.26523423194885254	contradiction	0.031310468912124634
2	4	5	A bald man standing to the side of a outdoors	The man stands near a man.	neutral	0.7883009314537048	entailment	0.18840451538562775	contradiction	0.023294541984796524
2	4	6	A kid fetches a man by a tree in the yard.	a kid gets a outdoors	entailment	0.758629560470581	neutral	0.1307392567396164	contradiction	0.11063116788864136
2	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a man	contradiction	0.7295790910720825	neutral	0.2454753965139389	entailment	0.024945512413978577
2	4	7	A green frog buys a man from a stand.	There is a green frog buying a outdoors	entailment	0.5066829323768616	neutral	0.4313009977340698	contradiction	0.06201609596610069
2	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a man	neutral	0.5330131649971008	contradiction	0.43251869082450867	entailment	0.034468069672584534
2	4	8	A man	A outdoors	neutral	0.7342900037765503	contradiction	0.15204621851444244	entailment	0.11366382241249084
2	4	8	A outdoors	A man	neutral	0.8952741622924805	contradiction	0.06309554725885391	entailment	0.04163036122918129
3	4	0	The man is photographed with a camera	There is a boy playing outdoors present	neutral	0.8502005934715271	contradiction	0.1326621174812317	entailment	0.017137305811047554
3	4	0	The boy playing outdoors is photographed with a camera	There is a man present	neutral	0.8768016695976257	entailment	0.1082049086689949	contradiction	0.014993379823863506
3	4	1	The man is in the water	The boy playing outdoors is wet	neutral	0.9457718133926392	entailment	0.043934229761362076	contradiction	0.010293922387063503
3	4	1	The boy playing outdoors is in the water	The man is wet	neutral	0.9282863140106201	contradiction	0.03872229531407356	entailment	0.0329914465546608
3	4	2	A man is outside near a campfire at night	There is a boy playing outdoors outside	contradiction	0.5513684749603271	neutral	0.4425453841686249	entailment	0.0060860998928546906
3	4	2	A boy playing outdoors is outside near a campfire at night	There is a man outside	neutral	0.6482228636741638	contradiction	0.33402541279792786	entailment	0.017751721665263176
3	4	3	A young woman is looking at a man with a binocular	A boy playing outdoors is looked at by a woman	neutral	0.7573422193527222	contradiction	0.207256019115448	entailment	0.03540170565247536
3	4	3	A young woman is looking at a boy playing outdoors with a binocular	A man is looked at by a woman	entailment	0.9693778157234192	neutral	0.023280326277017593	contradiction	0.007341796066612005
3	4	4	Several people are moving towards the man	There is a group of people near the boy playing outdoors	contradiction	0.9325821399688721	neutral	0.06687121838331223	entailment	0.0005466529983095825
3	4	4	Several people are moving towards the boy playing outdoors	There is a group of people near the man	contradiction	0.5180127620697021	entailment	0.2708226442337036	neutral	0.21116460859775543
3	4	5	A bald man standing to the side of a man	The man stands near a boy playing outdoors.	neutral	0.5133930444717407	contradiction	0.4769689738750458	entailment	0.009638022631406784
3	4	5	A bald man standing to the side of a boy playing outdoors	The man stands near a man.	contradiction	0.5680109858512878	neutral	0.26703616976737976	entailment	0.16495278477668762
3	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boy playing outdoors	contradiction	0.7321855425834656	neutral	0.21319863200187683	entailment	0.0546158142387867
3	4	6	A kid fetches a boy playing outdoors by a tree in the yard.	a kid gets a man	contradiction	0.8664299249649048	entailment	0.09621996432542801	neutral	0.037350110709667206
3	4	7	A green frog buys a man from a stand.	There is a green frog buying a boy playing outdoors	contradiction	0.8979508280754089	neutral	0.09565726667642593	entailment	0.006391888950020075
3	4	7	A green frog buys a boy playing outdoors from a stand.	There is a green frog buying a man	contradiction	0.8023455739021301	entailment	0.18360206484794617	neutral	0.01405235007405281
3	4	8	A man	A boy playing outdoors	contradiction	0.9862980842590332	neutral	0.013260653242468834	entailment	0.0004412438429426402
3	4	8	A boy playing outdoors	A man	contradiction	0.9572456479072571	neutral	0.04077861085534096	entailment	0.0019757647532969713
4	4	0	The man is photographed with a camera	There is a man smiling present	neutral	0.9892404675483704	entailment	0.0062730442732572556	contradiction	0.004486543126404285
4	4	0	The man smiling is photographed with a camera	There is a man present	entailment	0.9767767786979675	neutral	0.022490037605166435	contradiction	0.0007330720545724034
4	4	1	The man is in the water	The man smiling is wet	neutral	0.9523547291755676	entailment	0.04746938869357109	contradiction	0.0001758805738063529
4	4	1	The man smiling is in the water	The man is wet	entailment	0.9922196865081787	neutral	0.0076297251507639885	contradiction	0.00015062352758832276
4	4	2	A man is outside near a campfire at night	There is a man smiling outside	neutral	0.9986683130264282	entailment	0.0008921785629354417	contradiction	0.0004395338473841548
4	4	2	A man smiling is outside near a campfire at night	There is a man outside	entailment	0.986725926399231	neutral	0.01309239212423563	contradiction	0.00018175129662267864
4	4	3	A young woman is looking at a man with a binocular	A man smiling is looked at by a woman	neutral	0.9930078983306885	entailment	0.006316500250250101	contradiction	0.0006755460635758936
4	4	3	A young woman is looking at a man smiling with a binocular	A man is looked at by a woman	entailment	0.995205819606781	neutral	0.004574289079755545	contradiction	0.0002198037545895204
4	4	4	Several people are moving towards the man	There is a group of people near the man smiling	neutral	0.9977139234542847	entailment	0.0019635921344161034	contradiction	0.00032239785650745034
4	4	4	Several people are moving towards the man smiling	There is a group of people near the man	entailment	0.9801957011222839	neutral	0.0195316094905138	contradiction	0.0002726863604038954
4	4	5	A bald man standing to the side of a man	The man stands near a man smiling.	neutral	0.9892877340316772	entailment	0.008594227954745293	contradiction	0.0021180182229727507
4	4	5	A bald man standing to the side of a man smiling	The man stands near a man.	entailment	0.9671232104301453	neutral	0.03175058588385582	contradiction	0.0011263217311352491
4	4	6	A kid fetches a man by a tree in the yard.	a kid gets a man smiling	neutral	0.9924184083938599	entailment	0.00643937336280942	contradiction	0.001142282853834331
4	4	6	A kid fetches a man smiling by a tree in the yard.	a kid gets a man	entailment	0.9918518662452698	neutral	0.007889759726822376	contradiction	0.0002583899477031082
4	4	7	A green frog buys a man from a stand.	There is a green frog buying a man smiling	neutral	0.9970832467079163	entailment	0.0014685646165162325	contradiction	0.001448259106837213
4	4	7	A green frog buys a man smiling from a stand.	There is a green frog buying a man	entailment	0.9920509457588196	neutral	0.007716188207268715	contradiction	0.00023280881578102708
4	4	8	A man	A man smiling	neutral	0.9961369633674622	entailment	0.00222949031740427	contradiction	0.0016334656393155456
4	4	8	A man smiling	A man	entailment	0.6153422594070435	neutral	0.3837415277957916	contradiction	0.000916219549253583
5	4	0	The boys is photographed with a camera	There is a boy present	entailment	0.9633790850639343	neutral	0.0360591784119606	contradiction	0.0005617376300506294
5	4	0	The boy is photographed with a camera	There is a boys present	entailment	0.9638219475746155	neutral	0.03541257977485657	contradiction	0.000765431032050401
5	4	1	The boys is in the water	The boy is wet	entailment	0.9933356046676636	neutral	0.006502034142613411	contradiction	0.00016238047101069242
5	4	1	The boy is in the water	The boys is wet	entailment	0.9945254325866699	neutral	0.005357550922781229	contradiction	0.00011698283924488351
5	4	2	A boys is outside near a campfire at night	There is a boy outside	entailment	0.9833288192749023	neutral	0.016427909955382347	contradiction	0.00024318083887919784
5	4	2	A boy is outside near a campfire at night	There is a boys outside	entailment	0.9842286109924316	neutral	0.015256093814969063	contradiction	0.0005153085221536458
5	4	3	A young woman is looking at a boys with a binocular	A boy is looked at by a woman	entailment	0.9945642948150635	neutral	0.00522861210629344	contradiction	0.0002071332128252834
5	4	3	A young woman is looking at a boy with a binocular	A boys is looked at by a woman	entailment	0.9953872561454773	neutral	0.004358538892120123	contradiction	0.0002541463472880423
5	4	4	Several people are moving towards the boys	There is a group of people near the boy	entailment	0.9705508947372437	neutral	0.028957925736904144	contradiction	0.0004912758013233542
5	4	4	Several people are moving towards the boy	There is a group of people near the boys	entailment	0.9755379557609558	neutral	0.02401868812739849	contradiction	0.0004433307331055403
5	4	5	A bald man standing to the side of a boys	The man stands near a boy.	entailment	0.9818148016929626	neutral	0.01767296902835369	contradiction	0.0005121200229041278
5	4	5	A bald man standing to the side of a boy	The man stands near a boys.	entailment	0.9822952747344971	neutral	0.016944244503974915	contradiction	0.0007604931015521288
5	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a boy	entailment	0.986547589302063	neutral	0.012999119237065315	contradiction	0.0004533571773208678
5	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a boys	entailment	0.9901227355003357	neutral	0.009152274578809738	contradiction	0.0007249116897583008
5	4	7	A green frog buys a boys from a stand.	There is a green frog buying a boy	entailment	0.9942554831504822	neutral	0.005433536134660244	contradiction	0.00031102215871214867
5	4	7	A green frog buys a boy from a stand.	There is a green frog buying a boys	entailment	0.9934017062187195	neutral	0.005897121503949165	contradiction	0.0007011945708654821
5	4	8	A boys	A boy	entailment	0.9629712104797363	neutral	0.03542301803827286	contradiction	0.0016057869652286172
5	4	8	A boy	A boys	entailment	0.9883331656455994	neutral	0.008687987923622131	contradiction	0.0029788981191813946
6	4	0	The boys is photographed with a camera	There is a man present	neutral	0.8522273898124695	entailment	0.13332946598529816	contradiction	0.014443091116845608
6	4	0	The man is photographed with a camera	There is a boys present	neutral	0.8951571583747864	contradiction	0.09053760766983032	entailment	0.014305210672318935
6	4	1	The boys is in the water	The man is wet	neutral	0.5518554449081421	entailment	0.4461078941822052	contradiction	0.00203670933842659
6	4	1	The man is in the water	The boys is wet	entailment	0.6340672969818115	neutral	0.36214274168014526	contradiction	0.0037899743765592575
6	4	2	A boys is outside near a campfire at night	There is a man outside	neutral	0.5649800896644592	contradiction	0.22504952549934387	entailment	0.2099703550338745
6	4	2	A man is outside near a campfire at night	There is a boys outside	neutral	0.7962422370910645	contradiction	0.1905636042356491	entailment	0.013194223865866661
6	4	3	A young woman is looking at a boys with a binocular	A man is looked at by a woman	entailment	0.9567550420761108	neutral	0.03424598649144173	contradiction	0.008999023586511612
6	4	3	A young woman is looking at a man with a binocular	A boys is looked at by a woman	entailment	0.894091010093689	neutral	0.09832816570997238	contradiction	0.007580746430903673
6	4	4	Several people are moving towards the boys	There is a group of people near the man	contradiction	0.5120428800582886	neutral	0.342844158411026	entailment	0.14511293172836304
6	4	4	Several people are moving towards the man	There is a group of people near the boys	contradiction	0.6023620367050171	neutral	0.3949838876724243	entailment	0.0026541147381067276
6	4	5	A bald man standing to the side of a boys	The man stands near a man.	entailment	0.5674740672111511	neutral	0.2574062645435333	contradiction	0.17511962354183197
6	4	5	A bald man standing to the side of a man	The man stands near a boys.	neutral	0.7476666569709778	contradiction	0.19106994569301605	entailment	0.06126343086361885
6	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a man	entailment	0.6275315284729004	contradiction	0.2959834039211273	neutral	0.07648508250713348
6	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boys	neutral	0.46618881821632385	contradiction	0.2882082462310791	entailment	0.24560295045375824
6	4	7	A green frog buys a boys from a stand.	There is a green frog buying a man	entailment	0.828777015209198	contradiction	0.14704850316047668	neutral	0.024174511432647705
6	4	7	A green frog buys a man from a stand.	There is a green frog buying a boys	contradiction	0.40656471252441406	neutral	0.3268295228481293	entailment	0.26660579442977905
6	4	8	A boys	A man	contradiction	0.5738509893417358	neutral	0.388949990272522	entailment	0.037198975682258606
6	4	8	A man	A boys	neutral	0.5971046090126038	contradiction	0.3182447850704193	entailment	0.08465059101581573
7	4	0	The boys is photographed with a camera	There is a outdoors present	neutral	0.8306882381439209	contradiction	0.09998563677072525	entailment	0.06932612508535385
7	4	0	The outdoors is photographed with a camera	There is a boys present	neutral	0.9774224758148193	entailment	0.011369720101356506	contradiction	0.011207847855985165
7	4	1	The boys is in the water	The outdoors is wet	entailment	0.85965895652771	neutral	0.13933834433555603	contradiction	0.0010026873787865043
7	4	1	The outdoors is in the water	The boys is wet	neutral	0.8390947580337524	entailment	0.15973375737667084	contradiction	0.0011715437285602093
7	4	2	A boys is outside near a campfire at night	There is a outdoors outside	entailment	0.9781398773193359	neutral	0.01739274337887764	contradiction	0.004467255901545286
7	4	2	A outdoors is outside near a campfire at night	There is a boys outside	neutral	0.9881860017776489	entailment	0.009096183814108372	contradiction	0.0027177496813237667
7	4	3	A young woman is looking at a boys with a binocular	A outdoors is looked at by a woman	entailment	0.8660036325454712	neutral	0.1278594732284546	contradiction	0.006136944517493248
7	4	3	A young woman is looking at a outdoors with a binocular	A boys is looked at by a woman	neutral	0.7210109829902649	entailment	0.2733990550041199	contradiction	0.0055898940190672874
7	4	4	Several people are moving towards the boys	There is a group of people near the outdoors	neutral	0.5369590520858765	entailment	0.45319512486457825	contradiction	0.009845754131674767
7	4	4	Several people are moving towards the outdoors	There is a group of people near the boys	neutral	0.9941323399543762	contradiction	0.0031254759524017572	entailment	0.0027421622071415186
7	4	5	A bald man standing to the side of a boys	The man stands near a outdoors.	neutral	0.4907058775424957	entailment	0.4822997450828552	contradiction	0.026994381099939346
7	4	5	A bald man standing to the side of a outdoors	The man stands near a boys.	neutral	0.9532057642936707	entailment	0.03153495863080025	contradiction	0.01525927148759365
7	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a outdoors	entailment	0.8110785484313965	neutral	0.1257978081703186	contradiction	0.0631236806511879
7	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a boys	neutral	0.921595573425293	contradiction	0.06124315783381462	entailment	0.017161214724183083
7	4	7	A green frog buys a boys from a stand.	There is a green frog buying a outdoors	entailment	0.4748486578464508	neutral	0.4668850600719452	contradiction	0.05826634541153908
7	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a boys	neutral	0.9619900584220886	contradiction	0.03248930349946022	entailment	0.00552059942856431
7	4	8	A boys	A outdoors	neutral	0.7886407971382141	entailment	0.10933108627796173	contradiction	0.10202810913324356
7	4	8	A outdoors	A boys	neutral	0.8210229277610779	contradiction	0.11334825307130814	entailment	0.06562879681587219
8	4	0	The boys is photographed with a camera	There is a boy playing outdoors present	neutral	0.9429803490638733	entailment	0.047759659588336945	contradiction	0.009259962476789951
8	4	0	The boy playing outdoors is photographed with a camera	There is a boys present	entailment	0.9772128462791443	neutral	0.021216602995991707	contradiction	0.0015705605037510395
8	4	1	The boys is in the water	The boy playing outdoors is wet	entailment	0.7585983872413635	neutral	0.2399682253599167	contradiction	0.001433447701856494
8	4	1	The boy playing outdoors is in the water	The boys is wet	entailment	0.9711965322494507	neutral	0.02844207175076008	contradiction	0.0003614361339714378
8	4	2	A boys is outside near a campfire at night	There is a boy playing outdoors outside	neutral	0.5710336565971375	entailment	0.42592060565948486	contradiction	0.0030457102693617344
8	4	2	A boy playing outdoors is outside near a campfire at night	There is a boys outside	entailment	0.9826647639274597	neutral	0.016775671392679214	contradiction	0.0005595993134193122
8	4	3	A young woman is looking at a boys with a binocular	A boy playing outdoors is looked at by a woman	neutral	0.7554230690002441	entailment	0.24367405474185944	contradiction	0.0009028713684529066
8	4	3	A young woman is looking at a boy playing outdoors with a binocular	A boys is looked at by a woman	entailment	0.995012104511261	neutral	0.004703772719949484	contradiction	0.000284090667264536
8	4	4	Several people are moving towards the boys	There is a group of people near the boy playing outdoors	neutral	0.9344104528427124	entailment	0.06332089006900787	contradiction	0.0022687038872390985
8	4	4	Several people are moving towards the boy playing outdoors	There is a group of people near the boys	entailment	0.9744536876678467	neutral	0.025141162797808647	contradiction	0.0004051674623042345
8	4	5	A bald man standing to the side of a boys	The man stands near a boy playing outdoors.	neutral	0.7971606254577637	entailment	0.20224548876285553	contradiction	0.0005939470720477402
8	4	5	A bald man standing to the side of a boy playing outdoors	The man stands near a boys.	entailment	0.9809060096740723	neutral	0.0183859933167696	contradiction	0.0007080156938172877
8	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a boy playing outdoors	entailment	0.6797429323196411	neutral	0.3184026777744293	contradiction	0.0018544355407357216
8	4	6	A kid fetches a boy playing outdoors by a tree in the yard.	a kid gets a boys	entailment	0.9893691539764404	neutral	0.009739713743329048	contradiction	0.0008910030592232943
8	4	7	A green frog buys a boys from a stand.	There is a green frog buying a boy playing outdoors	neutral	0.8802254796028137	contradiction	0.0667220875620842	entailment	0.0530523881316185
8	4	7	A green frog buys a boy playing outdoors from a stand.	There is a green frog buying a boys	entailment	0.9924707412719727	neutral	0.006899714935570955	contradiction	0.000629518530331552
8	4	8	A boys	A boy playing outdoors	neutral	0.9433341026306152	entailment	0.05396663770079613	contradiction	0.0026992119383066893
8	4	8	A boy playing outdoors	A boys	entailment	0.9296920895576477	neutral	0.06738452613353729	contradiction	0.002923369873315096
9	4	0	The boys is photographed with a camera	There is a man smiling present	neutral	0.8475185632705688	contradiction	0.14020612835884094	entailment	0.012275276705622673
9	4	0	The man smiling is photographed with a camera	There is a boys present	neutral	0.9000506401062012	contradiction	0.07933712750673294	entailment	0.0206121988594532
9	4	1	The boys is in the water	The man smiling is wet	neutral	0.9856796860694885	entailment	0.013201729394495487	contradiction	0.0011186744086444378
9	4	1	The man smiling is in the water	The boys is wet	entailment	0.8282951712608337	neutral	0.1671326458454132	contradiction	0.004572156351059675
9	4	2	A boys is outside near a campfire at night	There is a man smiling outside	neutral	0.9598590135574341	contradiction	0.0363636314868927	entailment	0.003777420613914728
9	4	2	A man smiling is outside near a campfire at night	There is a boys outside	neutral	0.8196671605110168	contradiction	0.150385782122612	entailment	0.029947057366371155
9	4	3	A young woman is looking at a boys with a binocular	A man smiling is looked at by a woman	neutral	0.9617889523506165	entailment	0.03615720197558403	contradiction	0.0020537825766950846
9	4	3	A young woman is looking at a man smiling with a binocular	A boys is looked at by a woman	entailment	0.8606014847755432	neutral	0.13074570894241333	contradiction	0.008652758784592152
9	4	4	Several people are moving towards the boys	There is a group of people near the man smiling	neutral	0.873502790927887	contradiction	0.12251529842615128	entailment	0.003981893882155418
9	4	4	Several people are moving towards the man smiling	There is a group of people near the boys	neutral	0.9139794111251831	contradiction	0.07856591790914536	entailment	0.007454735692590475
9	4	5	A bald man standing to the side of a boys	The man stands near a man smiling.	neutral	0.8467349410057068	contradiction	0.13865162432193756	entailment	0.014613429084420204
9	4	5	A bald man standing to the side of a man smiling	The man stands near a boys.	neutral	0.7198522090911865	contradiction	0.18879401683807373	entailment	0.09135376662015915
9	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a man smiling	neutral	0.6663979291915894	contradiction	0.24271829426288605	entailment	0.09088383615016937
9	4	6	A kid fetches a man smiling by a tree in the yard.	a kid gets a boys	contradiction	0.3764778971672058	neutral	0.35835522413253784	entailment	0.26516690850257874
9	4	7	A green frog buys a boys from a stand.	There is a green frog buying a man smiling	neutral	0.9417423605918884	contradiction	0.04145612195134163	entailment	0.01680152118206024
