CombID	SenID	templatenum	prem	hyp	top1	top1_score	top2	top2_score	top3	top3_score
1	4	0	The man is photographed with a camera	There is a boy present	entailment	0.5284960865974426	contradiction	0.32760170102119446	neutral	0.1439022421836853
1	4	0	The boy is photographed with a camera	There is a man present	neutral	0.7193984389305115	entailment	0.1462094783782959	contradiction	0.1343921571969986
1	4	1	The man is in the water	The boy is wet	entailment	0.4776334762573242	neutral	0.3332538306713104	contradiction	0.18911270797252655
1	4	1	The boy is in the water	The man is wet	contradiction	0.9283958673477173	entailment	0.046180494129657745	neutral	0.025423649698495865
1	4	2	A man is outside near a campfire at night	There is a boy outside	contradiction	0.9507769346237183	entailment	0.02508891560137272	neutral	0.02413412369787693
1	4	2	A boy is outside near a campfire at night	There is a man outside	contradiction	0.9763553738594055	entailment	0.012232769280672073	neutral	0.011411875486373901
1	4	3	A young woman is looking at a man with a binocular	A boy is looked at by a woman	contradiction	0.9189287424087524	neutral	0.06030524894595146	entailment	0.020765986293554306
1	4	3	A young woman is looking at a boy with a binocular	A man is looked at by a woman	contradiction	0.9496263861656189	entailment	0.03030627965927124	neutral	0.020067328587174416
1	4	4	Several people are moving towards the man	There is a group of people near the boy	contradiction	0.9621331691741943	entailment	0.018962452188134193	neutral	0.01890437863767147
1	4	4	Several people are moving towards the boy	There is a group of people near the man	entailment	0.5117338299751282	contradiction	0.42480844259262085	neutral	0.06345770508050919
1	4	5	A bald man standing to the side of a man	The man stands near a boy.	contradiction	0.9906402826309204	neutral	0.007250934839248657	entailment	0.002108837477862835
1	4	5	A bald man standing to the side of a boy	The man stands near a man.	contradiction	0.9528747200965881	entailment	0.03803173452615738	neutral	0.0090935118496418
1	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boy	contradiction	0.946331799030304	neutral	0.034640707075595856	entailment	0.01902742311358452
1	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a man	contradiction	0.9597011804580688	neutral	0.02913963794708252	entailment	0.011159184388816357
1	4	7	A green frog buys a man from a stand.	There is a green frog buying a boy	contradiction	0.9739592671394348	neutral	0.020509451627731323	entailment	0.0055312467738986015
1	4	7	A green frog buys a boy from a stand.	There is a green frog buying a man	contradiction	0.9519087076187134	neutral	0.03402511030435562	entailment	0.014066197909414768
1	4	8	A man	A boy	contradiction	0.9989703893661499	neutral	0.0006617478211410344	entailment	0.00036787844146601856
1	4	8	A boy	A man	contradiction	0.999686598777771	neutral	0.00018251581059303135	entailment	0.00013084882812108845
2	4	0	The man is photographed with a camera	There is a outdoors present	entailment	0.8466676473617554	neutral	0.12803855538368225	contradiction	0.025293730199337006
2	4	0	The outdoors is photographed with a camera	There is a man present	neutral	0.9695448875427246	entailment	0.020566197112202644	contradiction	0.009888970293104649
2	4	1	The man is in the water	The outdoors is wet	entailment	0.952196478843689	neutral	0.04714382812380791	contradiction	0.0006597174797207117
2	4	1	The outdoors is in the water	The man is wet	neutral	0.9233519434928894	entailment	0.06050623580813408	contradiction	0.01614188961684704
2	4	2	A man is outside near a campfire at night	There is a outdoors outside	entailment	0.9551722407341003	neutral	0.041294652968645096	contradiction	0.0035331735853105783
2	4	2	A outdoors is outside near a campfire at night	There is a man outside	neutral	0.8407421112060547	entailment	0.15016774833202362	contradiction	0.009090112522244453
2	4	3	A young woman is looking at a man with a binocular	A outdoors is looked at by a woman	entailment	0.8689554929733276	neutral	0.12716041505336761	contradiction	0.0038841490168124437
2	4	3	A young woman is looking at a outdoors with a binocular	A man is looked at by a woman	contradiction	0.84788978099823	neutral	0.10726754367351532	entailment	0.04484263062477112
2	4	4	Several people are moving towards the man	There is a group of people near the outdoors	entailment	0.9059956073760986	neutral	0.09262547641992569	contradiction	0.0013788490323349833
2	4	4	Several people are moving towards the outdoors	There is a group of people near the man	entailment	0.5507363080978394	neutral	0.3798072338104248	contradiction	0.06945646554231644
2	4	5	A bald man standing to the side of a man	The man stands near a outdoors.	neutral	0.8084527254104614	entailment	0.169170081615448	contradiction	0.02237721160054207
2	4	5	A bald man standing to the side of a outdoors	The man stands near a man.	neutral	0.958469569683075	entailment	0.031773410737514496	contradiction	0.009756935760378838
