CombID	SenID	templatenum	prem	hyp	label
1	2	0	The adult is photographed with a camera	There is a child present	alternation
1	2	0	The child is photographed with a camera	There is a adult present	alternation
1	2	1	The adult is in the water	The child is wet	alternation
1	2	1	The child is in the water	The adult is wet	alternation
1	2	2	A adult is outside near a campfire at night	There is a child outside	alternation
1	2	2	A child is outside near a campfire at night	There is a adult outside	alternation
1	2	3	A young woman is looking at a adult with a binocular	A child is looked at by a woman	alternation
1	2	3	A young woman is looking at a child with a binocular	A adult is looked at by a woman	alternation
1	2	4	Several people are moving towards the adult	There is a group of people near the child	alternation
1	2	4	Several people are moving towards the child	There is a group of people near the adult	alternation
1	2	5	A bald man standing to the side of a adult	The man stands near a child.	alternation
1	2	5	A bald man standing to the side of a child	The man stands near a adult.	alternation
1	2	6	A kid fetches a adult by a tree in the yard.	a kid gets a child	alternation
1	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adult	alternation
1	2	7	A green frog buys a adult from a stand.	There is a green frog buying a child	alternation
1	2	7	A green frog buys a child from a stand.	There is a green frog buying a adult	alternation
1	2	8	A adult	A child	alternation
1	2	8	A child	A adult	alternation
2	2	0	The adults worldwide is photographed with a camera	There is a child present	alternation
2	2	0	The child is photographed with a camera	There is a adults worldwide present	alternation
2	2	1	The adults worldwide is in the water	The child is wet	alternation
2	2	1	The child is in the water	The adults worldwide is wet	alternation
2	2	2	A adults worldwide is outside near a campfire at night	There is a child outside	alternation
2	2	2	A child is outside near a campfire at night	There is a adults worldwide outside	alternation
2	2	3	A young woman is looking at a adults worldwide with a binocular	A child is looked at by a woman	alternation
2	2	3	A young woman is looking at a child with a binocular	A adults worldwide is looked at by a woman	alternation
2	2	4	Several people are moving towards the adults worldwide	There is a group of people near the child	alternation
2	2	4	Several people are moving towards the child	There is a group of people near the adults worldwide	alternation
2	2	5	A bald man standing to the side of a adults worldwide	The man stands near a child.	alternation
2	2	5	A bald man standing to the side of a child	The man stands near a adults worldwide.	alternation
2	2	6	A kid fetches a adults worldwide by a tree in the yard.	a kid gets a child	alternation
2	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adults worldwide	alternation
2	2	7	A green frog buys a adults worldwide from a stand.	There is a green frog buying a child	alternation
2	2	7	A green frog buys a child from a stand.	There is a green frog buying a adults worldwide	alternation
2	2	8	A adults worldwide	A child	alternation
2	2	8	A child	A adults worldwide	alternation
3	3	0	The adult is photographed with a camera	There is a mother present	reverseentailment
3	3	0	The mother is photographed with a camera	There is a adult present	reverseentailment
3	3	1	The adult is in the water	The mother is wet	reverseentailment
3	3	1	The mother is in the water	The adult is wet	reverseentailment
3	3	2	A adult is outside near a campfire at night	There is a mother outside	reverseentailment
3	3	2	A mother is outside near a campfire at night	There is a adult outside	reverseentailment
3	3	3	A young woman is looking at a adult with a binocular	A mother is looked at by a woman	reverseentailment
3	3	3	A young woman is looking at a mother with a binocular	A adult is looked at by a woman	reverseentailment
3	3	4	Several people are moving towards the adult	There is a group of people near the mother	reverseentailment
3	3	4	Several people are moving towards the mother	There is a group of people near the adult	reverseentailment
