ID	scrapeID	w1	w2	label	meta
1	2	adult	child	alternation	org
2	2	adults worldwide	child	alternation	add
3	3	adult	mother	reverseentailment	org
4	4	aircraft	base	disjoint	org
5	4	aircraft	power bases	disjoint	add
6	5	aircraft	plane	reverseentailment	org
7	5	aircraft	spy plane	reverseentailment	add
8	6	air	airplane	disjoint	org
9	6	airplane home	air	disjoint	add
10	8	animal	cat	reverseentailment	org
11	9	animal	snake	reverseentailment	org
12	9	animal health department	snakes	disjoint	add
13	10	automobile	car	synonym	org
14	10	mutual automobile insurance	cars	disjoint	add
15	10	automobile insurance	flash cars	disjoint	add
16	11	baby	child	reverseentailment	org
17	12	baby	kid	alternation	org
18	13	baby	mother	alternation	org
19	14	background	light	disjoint	org
20	15	ball	basketball	reverseentailment	org
21	16	ball	mitt	disjoint	org
22	17	bank	river	disjoint	org
23	18	baseball	football	alternation	org
24	19	baseball	hit	disjoint	org
25	20	basketball	game	forwardentailment	org
26	20	basketball operations	games	disjoint	add
27	22	beach	sun	disjoint	org
28	22	sydney beach	sun	disjoint	add
29	22	beach	sun	disjoint	add
30	23	bed	couch	alternation	org
31	24	beer	glass	independent	org
32	24	beer	glass door	disjoint	add
33	25	bicycle	bike	synonym	org
34	25	bicycles	dirt bike riders	disjoint	add
35	26	bicycle	motorcycle	disjoint	org
36	26	bicycle riding	motorcycle	disjoint	add
37	27	bicycle	ramp	independent	org
38	28	bicycle	bike	synonym	org
39	29	bike	parking	independent	org
40	29	bikes	parking lot	disjoint	add
41	30	bike	track	independent	org
42	30	hand-bike athletes	recording tracks	disjoint	add
43	31	bird	fly	disjoint	org
44	31	wild birds	flying debris	disjoint	add
45	33	black	woman	independent	org
46	35	blue	color	forwardentailment	org
47	36	blue	water	independent	org
48	36	blues	water reservoirs	disjoint	add
49	36	pan blues	water	disjoint	add
50	38	boat	sail	independent	org
51	38	zodiac boats	plans to sail to kenya	disjoint	add
52	38	inflatable zodiac boats	plans to sail to kenya	disjoint	add
53	39	boat	vehicle	forwardentailment	org
54	40	body	person	independent	org
55	41	book	video	alternation	org
56	41	published book	video	disjoint	add
57	42	bottom	top	alternation	org
58	43	boulder	rock	forwardentailment	org
59	44	bowl	container	forwardentailment	org
60	45	bowl	dish	forwardentailment	org
61	45	bowl advertisements	venus rosewater dish	disjoint	add
62	46	box	tape	disjoint	org
63	46	box	adhesive tape	disjoint	add
64	47	boy	child	forwardentailment	org
