CombID	label	meta	preds	pred
1	disjoint	org	[-2.7593741416931152, -0.08433932811021805, 3.297511577606201, -1.9685382843017578, -0.5318642854690552, 2.777921676635742, -2.8121912479400635, -0.17634662985801697, 3.4245195388793945, -1.8931760787963867, 2.851799488067627, -0.8715220093727112, -2.2481753826141357, -0.10147720575332642, 2.571164608001709, -3.2148187160491943, -0.686254620552063, 4.466695308685303, 0.9176340103149414, -1.3230913877487183, 0.04351193457841873, -2.095496416091919, -1.9346437454223633, 4.427425384521484, -1.897139549255371, 1.6410492658615112, 0.3325449824333191, -2.1683032512664795, 1.3128564357757568, 0.9520553350448608, -3.132411003112793, 0.617699921131134, 2.8783631324768066, -2.7455244064331055, -0.06559640914201736, 3.1244354248046875, -1.8319059610366821, -0.8712102770805359, 2.820723295211792, -3.586380958557129, 0.44930142164230347, 3.675361156463623, -3.9210758209228516, 1.2482776641845703, 2.981505870819092, -4.064988136291504, 1.5545825958251953, 2.8591294288635254, -3.232896089553833, -1.4432345628738403, 5.3258771896362305, -3.3941309452056885, -0.4265299141407013, 4.549985885620117]	disjoint
2	disjoint	add	[-3.22229266166687, 0.8597397804260254, 2.9347615242004395, 0.15716618299484253, 0.08726615458726883, -0.35536879301071167, -3.5114405155181885, -0.2487318515777588, 4.409960746765137, -2.9228334426879883, 0.6442625522613525, 2.8603954315185547, -2.19565749168396, 0.5704982280731201, 1.8278179168701172, -3.088557481765747, -0.9450674057006836, 4.647721290588379, 0.8446129560470581, -0.6264891624450684, -0.5016542673110962, -1.7313505411148071, -1.6301298141479492, 3.704941749572754, -0.6672871112823486, 0.7572019696235657, -0.13435472548007965, -1.0438942909240723, -0.4865947365760803, 1.4892303943634033, -3.2559421062469482, 0.7894208431243896, 2.87526798248291, -2.262897491455078, -1.0969527959823608, 3.719008445739746, -1.6763066053390503, -0.8821120858192444, 2.636815071105957, -2.6110708713531494, 1.5881998538970947, 1.3027626276016235, -3.423039674758911, 1.9092985391616821, 1.6230196952819824, -3.587134599685669, 2.522191047668457, 1.2948780059814453, -2.5037167072296143, -1.4145475625991821, 4.393685817718506, -2.46370792388916, -0.057925693690776825, 2.99100399017334]	independent
3	reverseentailment	org	[-0.6141560673713684, 3.0427944660186768, -1.8889801502227783, 2.4069693088531494, -0.9765079617500305, -1.5856914520263672, 0.1937459111213684, 0.7809747457504272, -0.9740324020385742, 1.8103195428848267, -0.1137036457657814, -1.8350965976715088, -0.46691274642944336, 0.6299566030502319, -0.1651342511177063, 1.755321741104126, -1.6068594455718994, -0.4966152310371399, -1.6559374332427979, 1.4983768463134766, 0.2987119257450104, 0.4819645881652832, -0.8246581554412842, 0.07556621730327606, 0.05254027247428894, 2.881925582885742, -2.412282943725586, 2.698477268218994, -0.169973224401474, -2.5509376525878906, -2.4730682373046875, 0.9970096349716187, 1.751224398612976, 0.7685273289680481, -0.3064349293708801, -0.679283857345581, -2.893214225769043, 0.8154075145721436, 2.518202304840088, -2.7445390224456787, -0.7912954688072205, 4.0903730392456055, -3.25566029548645, 0.07501827925443649, 3.6458706855773926, -2.960174083709717, -0.017258811742067337, 3.3786463737487793, -0.4802960455417633, 2.9597034454345703, -2.0164856910705566, 1.1310919523239136, 0.16875576972961426, -1.4504857063293457]	independent
4	disjoint	org	[-0.028974749147892, 2.6203932762145996, -2.1764626502990723, 0.9160680770874023, 1.4613749980926514, -2.19925856590271, -0.27408820390701294, -0.1575082540512085, 0.18842388689517975, -0.8293752670288086, -0.2937406301498413, 1.0755045413970947, -0.008944615721702576, 2.199916362762451, -1.8956115245819092, -0.2725057601928711, 0.942720353603363, -0.6711346507072449, 0.9058319330215454, -1.1380351781845093, -0.12070946395397186, 0.276400625705719, -0.3223826587200165, -0.21899548172950745, -1.6405408382415771, 4.43571138381958, -2.0428740978240967, 0.10823884606361389, 2.677762031555176, -2.3297715187072754, -1.482017993927002, 2.2873892784118652, -0.5238950848579407, -1.1213736534118652, 3.454256772994995, -1.6993387937545776, -1.026224136352539, 2.258354425430298, -1.0118927955627441, -1.6266001462936401, 3.3890676498413086, -1.2516835927963257, -0.39139503240585327, -0.5041421055793762, 0.6005210280418396, -2.7664408683776855, 0.718339204788208, 2.3115758895874023, -1.30061674118042, -1.7080769538879395, 3.1156044006347656, -1.6704082489013672, -2.098694324493408, 4.085449695587158]	disjoint
5	disjoint	add	[1.020967721939087, 1.221560001373291, -2.1263816356658936, -0.3831939995288849, 1.5421617031097412, -0.9632008671760559, 0.7553771734237671, 0.5177360773086548, -1.3867521286010742, -2.4459478855133057, 0.045110344886779785, 2.8421454429626465, 0.24900293350219727, 0.1465577334165573, -0.5872510075569153, -0.6655331254005432, -1.0851035118103027, 1.5947258472442627, 0.2555440664291382, -0.6293745040893555, 0.0530303493142128, 0.951093316078186, -1.9909782409667969, 0.6064831614494324, -1.4479241371154785, 4.0138840675354, -1.8363984823226929, -0.3753821849822998, 1.9626871347427368, -1.3358618021011353, -1.439376711845398, 2.5813112258911133, -0.7668143510818481, -0.6102066040039062, 1.8726322650909424, -1.0385313034057617, -0.6921595335006714, 0.4612511396408081, 0.18607644736766815, -2.8449952602386475, 0.8145161271095276, 2.3826327323913574, -0.254561185836792, -0.6275116205215454, 0.5827370882034302, -3.04183030128479, 0.2346683293581009, 3.2295069694519043, -0.6300219297409058, -0.7224869132041931, 1.181239128112793, -1.7416565418243408, -1.5573954582214355, 3.605433940887451]	independent
6	reverseentailment	org	[3.8427672386169434, -0.12636789679527283, -3.5697741508483887, 4.501426696777344, -0.7423630952835083, -3.5882813930511475, -0.4042084813117981, -0.2675366997718811, 0.4640064537525177, -0.19976501166820526, -0.5089408755302429, 0.43052592873573303, 4.742509841918945, -1.2231413125991821, -3.3864192962646484, 5.144169807434082, -1.5818463563919067, -3.369626045227051, 3.5253818035125732, -1.3308839797973633, -2.282503604888916, 4.275818824768066, -1.6215853691101074, -2.631824493408203, 4.350184440612793, -0.12595181167125702, -3.9423999786376953, 4.523377418518066, -0.3798779249191284, -3.878237009048462, 3.878232717514038, -0.6074516773223877, -3.2104647159576416, 4.5809783935546875, -1.424062967300415, -3.0548148155212402, 1.51664137840271, 0.7136550545692444, -2.200211763381958, 2.5863325595855713, -0.2806021571159363, -2.3876900672912598, 3.010552167892456, -1.0762404203414917, -2.0830960273742676, 3.899324655532837, -1.3034043312072754, -2.6164565086364746, 3.325211763381958, -0.08616088330745697, -3.137558937072754, 3.680392265319824, -0.21086028218269348, -3.300734281539917]	synonym
7	reverseentailment	add	[0.7428410053253174, 2.9395411014556885, -3.0756282806396484, 4.769095420837402, -1.086988925933838, -3.4921915531158447, -0.1075734943151474, 3.8672895431518555, -2.943918466567993, 0.8324019908905029, -0.6912079453468323, -0.49994421005249023, -1.1496236324310303, 4.753116607666016, -2.654552698135376, 5.179516792297363, -1.830575942993164, -3.1801490783691406, 0.6747406721115112, 3.4142751693725586, -3.344545364379883, 4.756896018981934, -2.163419485092163, -2.5218122005462646, 0.5511225461959839, 4.6821465492248535, -4.145512104034424, 4.872916221618652, -0.8740231990814209, -3.720329523086548, -0.9576849341392517, 5.232264518737793, -3.1323981285095215, 5.234993934631348, -2.089806318283081, -2.9071085453033447, -1.2644615173339844, 4.666507244110107, -2.4579949378967285, 2.828094244003296, -0.796638011932373, -2.1681618690490723, -1.3443549871444702, 3.63557767868042, -1.668911099433899, 3.9558944702148438, -1.461232304573059, -2.5281050205230713, -0.8387707471847534, 4.32462215423584, -2.6295652389526367, 2.0366480350494385, -0.47072863578796387, -1.8359060287475586]	reverseentailment
8	disjoint	org	[-0.34992295503616333, 3.9694576263427734, -2.776571750640869, 3.8630189895629883, -0.937472939491272, -2.9249308109283447, 1.5232083797454834, 0.2775736451148987, -1.9069525003433228, 2.47361159324646, -0.07695376873016357, -2.5079774856567383, 0.775040864944458, -0.8838783502578735, -0.21181347966194153, 4.772810935974121, -1.5516772270202637, -3.1259894371032715, 1.5211591720581055, 0.7152502536773682, -2.2004075050354004, 3.7564268112182617, -2.1128740310668945, -1.8057334423065186, 0.951408326625824, 3.490838050842285, -3.634486436843872, 3.965040922164917, -0.3032642900943756, -3.522862434387207, 1.7387012243270874, 1.9424738883972168, -3.232588529586792, 4.714787483215332, -1.5124480724334717, -3.036050319671631, -1.4504728317260742, 1.0281531810760498, 0.587681770324707, 2.2195117473602295, -1.3224821090698242, -1.1289196014404297, 0.47677314281463623, -0.8762152791023254, 0.04420461878180504, 4.141692161560059, -1.721106767654419, -2.44942307472229, 1.5247197151184082, 1.0232681035995483, -2.4195785522460938, 2.778203248977661, -0.3118513822555542, -2.534785747528076]	reverseentailment
9	disjoint	add	[4.043245315551758, -1.322716474533081, -2.7133097648620605, -0.80225670337677, 2.5429296493530273, -1.2802563905715942, 2.8978047370910645, -0.47004175186157227, -2.5350770950317383, -0.6431440114974976, 1.3950810432434082, -0.7095596790313721, 4.147115707397461, -1.392317533493042, -2.7816901206970215, -0.6390808820724487, -1.0047671794891357, 1.4628612995147705, 3.636277437210083, -2.2176401615142822, -1.5743629932403564, 0.6601993441581726, 0.06826748698949814, -0.9120093584060669, 3.9951398372650146, -0.8626642227172852, -3.094186782836914, -1.082033634185791, 3.133352041244507, -1.5628273487091064, 4.665163993835449, -1.8980140686035156, -2.6322543621063232, 0.19662439823150635, 2.4665679931640625, -2.2879064083099365, 2.1679508686065674, -1.8047908544540405, -0.6278848648071289, -0.6913104057312012, 0.29498982429504395, 0.3744528293609619, 3.911741256713867, -1.9119846820831299, -2.068613290786743, -0.9110713005065918, -0.8749504685401917, 1.617021083831787, 1.8393137454986572, -1.3923780918121338, -0.7464073300361633, -0.5387012958526611, 2.5447804927825928, -1.6566905975341797]	disjoint
10	reverseentailment	org	[-0.9176791906356812, 4.787386894226074, -2.8996710777282715, 5.5377349853515625, -1.4315627813339233, -3.7118048667907715, -1.8541547060012817, 4.165401458740234, -1.6764111518859863, 0.6406437158584595, 0.847689151763916, -1.6621739864349365, -2.0721518993377686, 5.761385917663574, -2.5645251274108887, 5.626093864440918, -1.5088120698928833, -3.670276641845703, -1.673555612564087, 5.407543182373047, -2.6330854892730713, 5.549904823303223, -2.435736656188965, -2.8553216457366943, -1.10745370388031, 5.472531795501709, -3.2568037509918213, 5.136171340942383, -1.2519114017486572, -3.6100735664367676, -2.1527135372161865, 5.761000633239746, -2.5140585899353027, 5.708629608154297, -2.3463621139526367, -2.929327964782715, -2.65559458732605, 5.728944778442383, -2.058549404144287, 5.47200870513916, -1.4410346746444702, -3.674111843109131, -3.657231092453003, 1.8114862442016602, 2.177457809448242, 5.361734390258789, -1.719415545463562, -3.3796579837799072, -1.770943284034729, 5.233454704284668, -2.396130323410034, 5.066313743591309, -0.7777118682861328, -3.838657855987549]	reverseentailment
