CombID	SenID	templatenum	prem	hyp	label	top1	top1_score	top2	top2_score	top3	top3_score
1	2	0	The adult is photographed with a camera	There is a child present	alternation	contradiction	0.9649467468261719	neutral	0.032793618738651276	entailment	0.0022596234921365976
1	2	0	The child is photographed with a camera	There is a adult present	alternation	contradiction	0.9567490220069885	neutral	0.03494419902563095	entailment	0.008306772448122501
1	2	1	The adult is in the water	The child is wet	alternation	contradiction	0.9715754985809326	neutral	0.02652389369904995	entailment	0.001900657545775175
1	2	1	The child is in the water	The adult is wet	alternation	neutral	0.9681980013847351	contradiction	0.023383665829896927	entailment	0.008418362587690353
1	2	2	A adult is outside near a campfire at night	There is a child outside	alternation	contradiction	0.9283832311630249	neutral	0.06412284076213837	entailment	0.007493965327739716
1	2	2	A child is outside near a campfire at night	There is a adult outside	alternation	contradiction	0.9937951564788818	neutral	0.005746468901634216	entailment	0.00045841222163289785
1	2	3	A young woman is looking at a adult with a binocular	A child is looked at by a woman	alternation	entailment	0.6563360691070557	contradiction	0.27384138107299805	neutral	0.06982249766588211
1	2	3	A young woman is looking at a child with a binocular	A adult is looked at by a woman	alternation	contradiction	0.996815025806427	neutral	0.0017203004099428654	entailment	0.0014646948548033834
1	2	4	Several people are moving towards the adult	There is a group of people near the child	alternation	neutral	0.769656777381897	contradiction	0.20797297358512878	entailment	0.022370262071490288
1	2	4	Several people are moving towards the child	There is a group of people near the adult	alternation	neutral	0.578734815120697	contradiction	0.4034564197063446	entailment	0.017808711156249046
1	2	5	A bald man standing to the side of a adult	The man stands near a child.	alternation	contradiction	0.9035589694976807	neutral	0.09422532469034195	entailment	0.00221570604480803
1	2	5	A bald man standing to the side of a child	The man stands near a adult.	alternation	contradiction	0.9578602910041809	neutral	0.03943563997745514	entailment	0.0027040240820497274
1	2	6	A kid fetches a adult by a tree in the yard.	a kid gets a child	alternation	contradiction	0.9666875600814819	neutral	0.0240936279296875	entailment	0.009218853898346424
1	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adult	alternation	contradiction	0.9611548781394958	neutral	0.038170527666807175	entailment	0.000674609444104135
1	2	7	A green frog buys a adult from a stand.	There is a green frog buying a child	alternation	contradiction	0.8490986227989197	neutral	0.15004785358905792	entailment	0.0008535054512321949
1	2	7	A green frog buys a child from a stand.	There is a green frog buying a adult	alternation	contradiction	0.7859904170036316	neutral	0.21323634684085846	entailment	0.0007732337107881904
1	2	8	A adult	A child	alternation	contradiction	0.9986611604690552	neutral	0.0011471920879557729	entailment	0.00019159898511134088
1	2	8	A child	A adult	alternation	contradiction	0.9927991628646851	neutral	0.006848624907433987	entailment	0.0003521947073750198
2	2	0	The adults worldwide is photographed with a camera	There is a child present	alternation	contradiction	0.8867825269699097	neutral	0.11133882403373718	entailment	0.001878639217466116
2	2	0	The child is photographed with a camera	There is a adults worldwide present	alternation	entailment	0.39502763748168945	neutral	0.3683604598045349	contradiction	0.23661194741725922
2	2	1	The adults worldwide is in the water	The child is wet	alternation	contradiction	0.9902542233467102	neutral	0.009386435151100159	entailment	0.000359354104148224
2	2	1	The child is in the water	The adults worldwide is wet	alternation	contradiction	0.8991920948028564	neutral	0.09803958982229233	entailment	0.002768369857221842
2	2	2	A adults worldwide is outside near a campfire at night	There is a child outside	alternation	contradiction	0.7678635716438293	neutral	0.21839863061904907	entailment	0.013737748377025127
2	2	2	A child is outside near a campfire at night	There is a adults worldwide outside	alternation	contradiction	0.9958558678627014	neutral	0.0037092145066708326	entailment	0.0004348875372670591
2	2	3	A young woman is looking at a adults worldwide with a binocular	A child is looked at by a woman	alternation	entailment	0.6711943745613098	contradiction	0.17465214431285858	neutral	0.1541534662246704
2	2	3	A young woman is looking at a child with a binocular	A adults worldwide is looked at by a woman	alternation	contradiction	0.9909082651138306	neutral	0.004775764420628548	entailment	0.0043159970082342625
2	2	4	Several people are moving towards the adults worldwide	There is a group of people near the child	alternation	neutral	0.6058259010314941	contradiction	0.24839629232883453	entailment	0.14577782154083252
2	2	4	Several people are moving towards the child	There is a group of people near the adults worldwide	alternation	contradiction	0.8209818005561829	neutral	0.11382495611906052	entailment	0.0651932805776596
2	2	5	A bald man standing to the side of a adults worldwide	The man stands near a child.	alternation	contradiction	0.8878033757209778	neutral	0.11026664078235626	entailment	0.0019300365820527077
2	2	5	A bald man standing to the side of a child	The man stands near a adults worldwide.	alternation	contradiction	0.9894882440567017	neutral	0.00801432691514492	entailment	0.002497469773516059
2	2	6	A kid fetches a adults worldwide by a tree in the yard.	a kid gets a child	alternation	contradiction	0.9587520956993103	neutral	0.028408819809556007	entailment	0.01283910870552063
2	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adults worldwide	alternation	neutral	0.5660335421562195	contradiction	0.42547228932380676	entailment	0.00849413126707077
2	2	7	A green frog buys a adults worldwide from a stand.	There is a green frog buying a child	alternation	neutral	0.5695139169692993	contradiction	0.42773377895355225	entailment	0.0027523180469870567
2	2	7	A green frog buys a child from a stand.	There is a green frog buying a adults worldwide	alternation	neutral	0.7720202207565308	contradiction	0.2262643575668335	entailment	0.0017154718516394496
2	2	8	A adults worldwide	A child	alternation	contradiction	0.9960029721260071	neutral	0.0029907042626291513	entailment	0.0010063537629321218
2	2	8	A child	A adults worldwide	alternation	contradiction	0.9508531093597412	neutral	0.04508080706000328	entailment	0.004066063556820154
3	3	0	The adult is photographed with a camera	There is a mother present	reverseentailment	neutral	0.968031108379364	entailment	0.02498597651720047	contradiction	0.006983012892305851
3	3	0	The mother is photographed with a camera	There is a adult present	reverseentailment	entailment	0.950226902961731	neutral	0.03224081173539162	contradiction	0.01753230392932892
3	3	1	The adult is in the water	The mother is wet	reverseentailment	neutral	0.578448474407196	entailment	0.3215349316596985	contradiction	0.10001660883426666
3	3	1	The mother is in the water	The adult is wet	reverseentailment	entailment	0.8531465530395508	neutral	0.12457685172557831	contradiction	0.02227659523487091
3	3	2	A adult is outside near a campfire at night	There is a mother outside	reverseentailment	neutral	0.5600821375846863	contradiction	0.2528989315032959	entailment	0.18701891601085663
3	3	2	A mother is outside near a campfire at night	There is a adult outside	reverseentailment	entailment	0.8773056268692017	contradiction	0.09228754788637161	neutral	0.030406754463911057
3	3	3	A young woman is looking at a adult with a binocular	A mother is looked at by a woman	reverseentailment	neutral	0.7440694570541382	contradiction	0.22418324649333954	entailment	0.03174736350774765
3	3	3	A young woman is looking at a mother with a binocular	A adult is looked at by a woman	reverseentailment	entailment	0.5163220167160034	contradiction	0.3438914120197296	neutral	0.13978654146194458
3	3	4	Several people are moving towards the adult	There is a group of people near the mother	reverseentailment	neutral	0.9397887587547302	entailment	0.0554930716753006	contradiction	0.0047181895934045315
3	3	4	Several people are moving towards the mother	There is a group of people near the adult	reverseentailment	entailment	0.9415863752365112	neutral	0.05346980318427086	contradiction	0.004943822044879198
3	3	5	A bald man standing to the side of a adult	The man stands near a mother.	reverseentailment	contradiction	0.6733959913253784	neutral	0.31674855947494507	entailment	0.009855515323579311
3	3	5	A bald man standing to the side of a mother	The man stands near a adult.	reverseentailment	entailment	0.6343607306480408	neutral	0.21651341021060944	contradiction	0.14912588894367218
3	3	6	A kid fetches a adult by a tree in the yard.	a kid gets a mother	reverseentailment	contradiction	0.842717170715332	neutral	0.15351985394954681	entailment	0.003762968583032489
3	3	6	A kid fetches a mother by a tree in the yard.	a kid gets a adult	reverseentailment	contradiction	0.9914143681526184	neutral	0.007519235834479332	entailment	0.0010663282591849566
3	3	7	A green frog buys a adult from a stand.	There is a green frog buying a mother	reverseentailment	contradiction	0.9716867804527283	neutral	0.027335474267601967	entailment	0.0009777608793228865
3	3	7	A green frog buys a mother from a stand.	There is a green frog buying a adult	reverseentailment	contradiction	0.965925395488739	neutral	0.032368436455726624	entailment	0.0017061915714293718
3	3	8	A adult	A mother	reverseentailment	neutral	0.9624967575073242	entailment	0.030861781910061836	contradiction	0.006641436368227005
3	3	8	A mother	A adult	reverseentailment	entailment	0.6860403418540955	neutral	0.26205822825431824	contradiction	0.051901426166296005
4	4	0	The aircraft is photographed with a camera	There is a base present	disjoint	neutral	0.9268263578414917	entailment	0.06552226096391678	contradiction	0.00765143521130085
4	4	0	The base is photographed with a camera	There is a aircraft present	disjoint	neutral	0.622906506061554	entailment	0.36107495427131653	contradiction	0.016018467023968697
4	4	1	The aircraft is in the water	The base is wet	disjoint	contradiction	0.4278514087200165	neutral	0.3027341067790985	entailment	0.2694144546985626
4	4	1	The base is in the water	The aircraft is wet	disjoint	contradiction	0.7126914858818054	neutral	0.1812349110841751	entailment	0.10607364028692245
4	4	2	A aircraft is outside near a campfire at night	There is a base outside	disjoint	neutral	0.8877270817756653	entailment	0.09749504178762436	contradiction	0.014777830801904202
4	4	2	A base is outside near a campfire at night	There is a aircraft outside	disjoint	neutral	0.6685611605644226	entailment	0.19831925630569458	contradiction	0.1331196129322052
4	4	3	A young woman is looking at a aircraft with a binocular	A base is looked at by a woman	disjoint	entailment	0.6721495389938354	contradiction	0.24078938364982605	neutral	0.08706099539995193
4	4	3	A young woman is looking at a base with a binocular	A aircraft is looked at by a woman	disjoint	entailment	0.46321702003479004	contradiction	0.28225141763687134	neutral	0.254531592130661
4	4	4	Several people are moving towards the aircraft	There is a group of people near the base	disjoint	neutral	0.9961819648742676	entailment	0.0022879736497998238	contradiction	0.0015301074599847198
4	4	4	Several people are moving towards the base	There is a group of people near the aircraft	disjoint	neutral	0.9231396913528442	entailment	0.07068676501512527	contradiction	0.006173491477966309
4	4	5	A bald man standing to the side of a aircraft	The man stands near a base.	disjoint	neutral	0.9231964349746704	contradiction	0.05550944432616234	entailment	0.02129410393536091
4	4	5	A bald man standing to the side of a base	The man stands near a aircraft.	disjoint	neutral	0.9841761589050293	entailment	0.010136771015822887	contradiction	0.005687040276825428
4	4	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a base	disjoint	neutral	0.9298406839370728	contradiction	0.03533095866441727	entailment	0.034828346222639084
4	4	6	A kid fetches a base by a tree in the yard.	a kid gets a aircraft	disjoint	neutral	0.9839773774147034	contradiction	0.009495669044554234	entailment	0.006526850163936615
4	4	7	A green frog buys a aircraft from a stand.	There is a green frog buying a base	disjoint	contradiction	0.5874804258346558	entailment	0.21787352859973907	neutral	0.19464606046676636
4	4	7	A green frog buys a base from a stand.	There is a green frog buying a aircraft	disjoint	contradiction	0.8267883658409119	neutral	0.16805893182754517	entailment	0.005152747500687838
4	4	8	A aircraft	A base	disjoint	contradiction	0.980279803276062	entailment	0.011841537430882454	neutral	0.007878688164055347
4	4	8	A base	A aircraft	disjoint	contradiction	0.9948011636734009	entailment	0.0031477119773626328	neutral	0.002051139483228326
5	4	0	The aircraft is photographed with a camera	There is a power bases present	disjoint	neutral	0.539551854133606	entailment	0.4414795935153961	contradiction	0.018968570977449417
5	4	0	The power bases is photographed with a camera	There is a aircraft present	disjoint	neutral	0.8146848678588867	entailment	0.11880048364400864	contradiction	0.06651464849710464
5	4	1	The aircraft is in the water	The power bases is wet	disjoint	entailment	0.524684488773346	neutral	0.41371411085128784	contradiction	0.06160139665007591
5	4	1	The power bases is in the water	The aircraft is wet	disjoint	contradiction	0.9380502104759216	neutral	0.05721147358417511	entailment	0.004738259594887495
5	4	2	A aircraft is outside near a campfire at night	There is a power bases outside	disjoint	entailment	0.4280910789966583	neutral	0.3864065110683441	contradiction	0.18550243973731995
5	4	2	A power bases is outside near a campfire at night	There is a aircraft outside	disjoint	contradiction	0.8525894284248352	entailment	0.08894428610801697	neutral	0.05846622958779335
5	4	3	A young woman is looking at a aircraft with a binocular	A power bases is looked at by a woman	disjoint	entailment	0.44854384660720825	contradiction	0.3663170039653778	neutral	0.18513916432857513
5	4	3	A young woman is looking at a power bases with a binocular	A aircraft is looked at by a woman	disjoint	entailment	0.5677710175514221	contradiction	0.4022746980190277	neutral	0.02995428629219532
5	4	4	Several people are moving towards the aircraft	There is a group of people near the power bases	disjoint	neutral	0.9929255247116089	entailment	0.004215793684124947	contradiction	0.0028586925473064184
5	4	4	Several people are moving towards the power bases	There is a group of people near the aircraft	disjoint	neutral	0.8822619915008545	entailment	0.08514977246522903	contradiction	0.03258823603391647
5	4	5	A bald man standing to the side of a aircraft	The man stands near a power bases.	disjoint	neutral	0.9495862722396851	contradiction	0.03337782993912697	entailment	0.017035935074090958
5	4	5	A bald man standing to the side of a power bases	The man stands near a aircraft.	disjoint	neutral	0.8787979483604431	entailment	0.0733836442232132	contradiction	0.04781843349337578
5	4	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a power bases	disjoint	neutral	0.48193034529685974	contradiction	0.36599355936050415	entailment	0.15207605063915253
5	4	6	A kid fetches a power bases by a tree in the yard.	a kid gets a aircraft	disjoint	contradiction	0.8238534331321716	neutral	0.17172551155090332	entailment	0.004421047866344452
5	4	7	A green frog buys a aircraft from a stand.	There is a green frog buying a power bases	disjoint	contradiction	0.5777006149291992	entailment	0.2500733733177185	neutral	0.1722259819507599
5	4	7	A green frog buys a power bases from a stand.	There is a green frog buying a aircraft	disjoint	contradiction	0.9506297707557678	neutral	0.047573890537023544	entailment	0.0017963985446840525
5	4	8	A aircraft	A power bases	disjoint	contradiction	0.7619221806526184	entailment	0.12453867495059967	neutral	0.11353912949562073
5	4	8	A power bases	A aircraft	disjoint	contradiction	0.9896211624145508	neutral	0.0056661395356059074	entailment	0.004712637048214674
6	5	0	The aircraft is photographed with a camera	There is a plane present	reverseentailment	entailment	0.9808791279792786	neutral	0.01852869987487793	contradiction	0.0005920926341786981
6	5	0	The plane is photographed with a camera	There is a aircraft present	reverseentailment	entailment	0.9944440722465515	neutral	0.005250869784504175	contradiction	0.0003049732476938516
6	5	1	The aircraft is in the water	The plane is wet	reverseentailment	contradiction	0.5260764360427856	neutral	0.2531302571296692	entailment	0.22079332172870636
6	5	1	The plane is in the water	The aircraft is wet	reverseentailment	contradiction	0.5199517607688904	entailment	0.27683573961257935	neutral	0.20321246981620789
6	5	2	A aircraft is outside near a campfire at night	There is a plane outside	reverseentailment	entailment	0.9971478581428528	neutral	0.0025580532383173704	contradiction	0.00029404275119304657
6	5	2	A plane is outside near a campfire at night	There is a aircraft outside	reverseentailment	entailment	0.9986020922660828	neutral	0.001197615172713995	contradiction	0.00020039912487845868
6	5	3	A young woman is looking at a aircraft with a binocular	A plane is looked at by a woman	reverseentailment	entailment	0.9893314838409424	neutral	0.007696670014411211	contradiction	0.002971783746033907
6	5	3	A young woman is looking at a plane with a binocular	A aircraft is looked at by a woman	reverseentailment	entailment	0.9962673783302307	neutral	0.0027362778782844543	contradiction	0.0009963680058717728
6	5	4	Several people are moving towards the aircraft	There is a group of people near the plane	reverseentailment	entailment	0.9885059595108032	neutral	0.01124652661383152	contradiction	0.00024748791474848986
6	5	4	Several people are moving towards the plane	There is a group of people near the aircraft	reverseentailment	entailment	0.9924112558364868	neutral	0.007366033270955086	contradiction	0.00022279986296780407
6	5	5	A bald man standing to the side of a aircraft	The man stands near a plane.	reverseentailment	entailment	0.9880410432815552	neutral	0.011134388856589794	contradiction	0.0008245123899541795
6	5	5	A bald man standing to the side of a plane	The man stands near a aircraft.	reverseentailment	entailment	0.9970594048500061	neutral	0.002459054347127676	contradiction	0.0004814459243789315
6	5	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a plane	reverseentailment	entailment	0.6792066693305969	neutral	0.30428147315979004	contradiction	0.016511820256710052
6	5	6	A kid fetches a plane by a tree in the yard.	a kid gets a aircraft	reverseentailment	entailment	0.9400368928909302	neutral	0.05346257984638214	contradiction	0.006500524468719959
6	5	7	A green frog buys a aircraft from a stand.	There is a green frog buying a plane	reverseentailment	entailment	0.9775854349136353	neutral	0.01641654781997204	contradiction	0.005997989792376757
6	5	7	A green frog buys a plane from a stand.	There is a green frog buying a aircraft	reverseentailment	entailment	0.9930670261383057	neutral	0.005463415291160345	contradiction	0.0014696473954245448
6	5	8	A aircraft	A plane	reverseentailment	entailment	0.9665980935096741	neutral	0.031893592327833176	contradiction	0.0015083339530974627
6	5	8	A plane	A aircraft	reverseentailment	entailment	0.9790971875190735	neutral	0.019992999732494354	contradiction	0.0009098279988393188
7	5	0	The aircraft is photographed with a camera	There is a spy plane present	reverseentailment	neutral	0.8979809284210205	entailment	0.09982678294181824	contradiction	0.0021923340391367674
7	5	0	The spy plane is photographed with a camera	There is a aircraft present	reverseentailment	entailment	0.9968889355659485	neutral	0.002853526035323739	contradiction	0.000257522682659328
7	5	1	The aircraft is in the water	The spy plane is wet	reverseentailment	neutral	0.9805043339729309	entailment	0.018415750935673714	contradiction	0.0010799107840284705
7	5	1	The spy plane is in the water	The aircraft is wet	reverseentailment	entailment	0.6748501062393188	contradiction	0.1780787706375122	neutral	0.14707106351852417
7	5	2	A aircraft is outside near a campfire at night	There is a spy plane outside	reverseentailment	neutral	0.9966726303100586	entailment	0.0027228319086134434	contradiction	0.0006045594927854836
7	5	2	A spy plane is outside near a campfire at night	There is a aircraft outside	reverseentailment	entailment	0.9988644123077393	neutral	0.000901693245396018	contradiction	0.0002338537888135761
7	5	3	A young woman is looking at a aircraft with a binocular	A spy plane is looked at by a woman	reverseentailment	neutral	0.9382976293563843	entailment	0.060613349080085754	contradiction	0.0010889722034335136
7	5	3	A young woman is looking at a spy plane with a binocular	A aircraft is looked at by a woman	reverseentailment	entailment	0.9983251690864563	neutral	0.000985867460258305	contradiction	0.000688919157255441
7	5	4	Several people are moving towards the aircraft	There is a group of people near the spy plane	reverseentailment	neutral	0.9840455055236816	entailment	0.01581018604338169	contradiction	0.00014428143913391978
7	5	4	Several people are moving towards the spy plane	There is a group of people near the aircraft	reverseentailment	entailment	0.9966334700584412	neutral	0.0031818035058677197	contradiction	0.0001847300591180101
7	5	5	A bald man standing to the side of a aircraft	The man stands near a spy plane.	reverseentailment	neutral	0.997722327709198	entailment	0.002045257482677698	contradiction	0.00023242601309902966
7	5	5	A bald man standing to the side of a spy plane	The man stands near a aircraft.	reverseentailment	entailment	0.9990509152412415	neutral	0.0006583641516044736	contradiction	0.0002907463349401951
7	5	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a spy plane	reverseentailment	neutral	0.9965509176254272	entailment	0.0026467235293239355	contradiction	0.0008023520931601524
7	5	6	A kid fetches a spy plane by a tree in the yard.	a kid gets a aircraft	reverseentailment	entailment	0.9676616191864014	neutral	0.025793984532356262	contradiction	0.0065444414503872395
7	5	7	A green frog buys a aircraft from a stand.	There is a green frog buying a spy plane	reverseentailment	neutral	0.9882950782775879	entailment	0.0067939842119812965	contradiction	0.004910982679575682
7	5	7	A green frog buys a spy plane from a stand.	There is a green frog buying a aircraft	reverseentailment	entailment	0.994067907333374	neutral	0.0044135479256510735	contradiction	0.0015186299569904804
7	5	8	A aircraft	A spy plane	reverseentailment	neutral	0.9933673739433289	entailment	0.0056843082420527935	contradiction	0.0009482913301326334
7	5	8	A spy plane	A aircraft	reverseentailment	entailment	0.9072037935256958	neutral	0.07392147183418274	contradiction	0.01887468807399273
8	6	0	The air is photographed with a camera	There is a airplane present	disjoint	neutral	0.9857231974601746	entailment	0.013118081726133823	contradiction	0.0011587473563849926
8	6	0	The airplane is photographed with a camera	There is a air present	disjoint	entailment	0.9907337427139282	neutral	0.008149459958076477	contradiction	0.0011168200289830565
8	6	1	The air is in the water	The airplane is wet	disjoint	entailment	0.7574947476387024	neutral	0.21797609329223633	contradiction	0.024529168382287025
8	6	1	The airplane is in the water	The air is wet	disjoint	entailment	0.92174232006073	neutral	0.07193144410848618	contradiction	0.006326295901089907
8	6	2	A air is outside near a campfire at night	There is a airplane outside	disjoint	entailment	0.6397557854652405	contradiction	0.23846979439258575	neutral	0.12177448719739914
8	6	2	A airplane is outside near a campfire at night	There is a air outside	disjoint	entailment	0.9978415966033936	neutral	0.001788008608855307	contradiction	0.000370387191651389
8	6	3	A young woman is looking at a air with a binocular	A airplane is looked at by a woman	disjoint	entailment	0.6798659563064575	neutral	0.30368417501449585	contradiction	0.016449904069304466
8	6	3	A young woman is looking at a airplane with a binocular	A air is looked at by a woman	disjoint	entailment	0.993378758430481	contradiction	0.003814997849985957	neutral	0.0028061489574611187
8	6	4	Several people are moving towards the air	There is a group of people near the airplane	disjoint	neutral	0.9261692762374878	entailment	0.07308567315340042	contradiction	0.0007450780249200761
8	6	4	Several people are moving towards the airplane	There is a group of people near the air	disjoint	entailment	0.9856438636779785	neutral	0.013804399408400059	contradiction	0.0005517753888852894
8	6	5	A bald man standing to the side of a air	The man stands near a airplane.	disjoint	neutral	0.549056351184845	entailment	0.4478382468223572	contradiction	0.0031053845304995775
8	6	5	A bald man standing to the side of a airplane	The man stands near a air.	disjoint	entailment	0.9976004958152771	neutral	0.001970175886526704	contradiction	0.0004293419187888503
8	6	6	A kid fetches a air by a tree in the yard.	a kid gets a airplane	disjoint	neutral	0.5788426399230957	contradiction	0.37261685729026794	entailment	0.04854055121541023
8	6	6	A kid fetches a airplane by a tree in the yard.	a kid gets a air	disjoint	entailment	0.9397655129432678	contradiction	0.03302306681871414	neutral	0.027211472392082214
8	6	7	A green frog buys a air from a stand.	There is a green frog buying a airplane	disjoint	entailment	0.5242995619773865	contradiction	0.34018674492836	neutral	0.13551375269889832
8	6	7	A green frog buys a airplane from a stand.	There is a green frog buying a air	disjoint	entailment	0.9958019852638245	neutral	0.002831287682056427	contradiction	0.0013667313614860177
8	6	8	A air	A airplane	disjoint	entailment	0.615375816822052	neutral	0.37270742654800415	contradiction	0.01191674917936325
8	6	8	A airplane	A air	disjoint	entailment	0.9519943594932556	neutral	0.04331502690911293	contradiction	0.004690635018050671
