CombID	SenID	templatenum	prem	hyp
1	4	0	The man is photographed with a camera	There is a boy present
1	4	0	The boy is photographed with a camera	There is a man present
1	4	1	The man is in the water	The boy is wet
1	4	1	The boy is in the water	The man is wet
1	4	2	A man is outside near a campfire at night	There is a boy outside
1	4	2	A boy is outside near a campfire at night	There is a man outside
1	4	3	A young woman is looking at a man with a binocular	A boy is looked at by a woman
1	4	3	A young woman is looking at a boy with a binocular	A man is looked at by a woman
1	4	4	Several people are moving towards the man	There is a group of people near the boy
1	4	4	Several people are moving towards the boy	There is a group of people near the man
1	4	5	A bald man standing to the side of a man	The man stands near a boy.
1	4	5	A bald man standing to the side of a boy	The man stands near a man.
1	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boy
1	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a man
1	4	7	A green frog buys a man from a stand.	There is a green frog buying a boy
1	4	7	A green frog buys a boy from a stand.	There is a green frog buying a man
1	4	8	A man	A boy
1	4	8	A boy	A man
2	4	0	The man is photographed with a camera	There is a outdoors present
2	4	0	The outdoors is photographed with a camera	There is a man present
2	4	1	The man is in the water	The outdoors is wet
2	4	1	The outdoors is in the water	The man is wet
2	4	2	A man is outside near a campfire at night	There is a outdoors outside
2	4	2	A outdoors is outside near a campfire at night	There is a man outside
2	4	3	A young woman is looking at a man with a binocular	A outdoors is looked at by a woman
2	4	3	A young woman is looking at a outdoors with a binocular	A man is looked at by a woman
2	4	4	Several people are moving towards the man	There is a group of people near the outdoors
2	4	4	Several people are moving towards the outdoors	There is a group of people near the man
2	4	5	A bald man standing to the side of a man	The man stands near a outdoors.
2	4	5	A bald man standing to the side of a outdoors	The man stands near a man.
2	4	6	A kid fetches a man by a tree in the yard.	a kid gets a outdoors
2	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a man
2	4	7	A green frog buys a man from a stand.	There is a green frog buying a outdoors
2	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a man
2	4	8	A man	A outdoors
2	4	8	A outdoors	A man
3	4	0	The man is photographed with a camera	There is a boy playing outdoors present
3	4	0	The boy playing outdoors is photographed with a camera	There is a man present
3	4	1	The man is in the water	The boy playing outdoors is wet
3	4	1	The boy playing outdoors is in the water	The man is wet
3	4	2	A man is outside near a campfire at night	There is a boy playing outdoors outside
3	4	2	A boy playing outdoors is outside near a campfire at night	There is a man outside
3	4	3	A young woman is looking at a man with a binocular	A boy playing outdoors is looked at by a woman
3	4	3	A young woman is looking at a boy playing outdoors with a binocular	A man is looked at by a woman
3	4	4	Several people are moving towards the man	There is a group of people near the boy playing outdoors
3	4	4	Several people are moving towards the boy playing outdoors	There is a group of people near the man
3	4	5	A bald man standing to the side of a man	The man stands near a boy playing outdoors.
3	4	5	A bald man standing to the side of a boy playing outdoors	The man stands near a man.
3	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boy playing outdoors
3	4	6	A kid fetches a boy playing outdoors by a tree in the yard.	a kid gets a man
3	4	7	A green frog buys a man from a stand.	There is a green frog buying a boy playing outdoors
3	4	7	A green frog buys a boy playing outdoors from a stand.	There is a green frog buying a man
3	4	8	A man	A boy playing outdoors
3	4	8	A boy playing outdoors	A man
4	4	0	The man is photographed with a camera	There is a man smiling present
4	4	0	The man smiling is photographed with a camera	There is a man present
4	4	1	The man is in the water	The man smiling is wet
4	4	1	The man smiling is in the water	The man is wet
4	4	2	A man is outside near a campfire at night	There is a man smiling outside
4	4	2	A man smiling is outside near a campfire at night	There is a man outside
4	4	3	A young woman is looking at a man with a binocular	A man smiling is looked at by a woman
4	4	3	A young woman is looking at a man smiling with a binocular	A man is looked at by a woman
4	4	4	Several people are moving towards the man	There is a group of people near the man smiling
4	4	4	Several people are moving towards the man smiling	There is a group of people near the man
4	4	5	A bald man standing to the side of a man	The man stands near a man smiling.
4	4	5	A bald man standing to the side of a man smiling	The man stands near a man.
4	4	6	A kid fetches a man by a tree in the yard.	a kid gets a man smiling
4	4	6	A kid fetches a man smiling by a tree in the yard.	a kid gets a man
4	4	7	A green frog buys a man from a stand.	There is a green frog buying a man smiling
4	4	7	A green frog buys a man smiling from a stand.	There is a green frog buying a man
4	4	8	A man	A man smiling
4	4	8	A man smiling	A man
5	4	0	The boys is photographed with a camera	There is a boy present
5	4	0	The boy is photographed with a camera	There is a boys present
5	4	1	The boys is in the water	The boy is wet
5	4	1	The boy is in the water	The boys is wet
5	4	2	A boys is outside near a campfire at night	There is a boy outside
5	4	2	A boy is outside near a campfire at night	There is a boys outside
5	4	3	A young woman is looking at a boys with a binocular	A boy is looked at by a woman
5	4	3	A young woman is looking at a boy with a binocular	A boys is looked at by a woman
5	4	4	Several people are moving towards the boys	There is a group of people near the boy
5	4	4	Several people are moving towards the boy	There is a group of people near the boys
5	4	5	A bald man standing to the side of a boys	The man stands near a boy.
5	4	5	A bald man standing to the side of a boy	The man stands near a boys.
5	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a boy
5	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a boys
5	4	7	A green frog buys a boys from a stand.	There is a green frog buying a boy
5	4	7	A green frog buys a boy from a stand.	There is a green frog buying a boys
5	4	8	A boys	A boy
5	4	8	A boy	A boys
6	4	0	The boys is photographed with a camera	There is a man present
6	4	0	The man is photographed with a camera	There is a boys present
6	4	1	The boys is in the water	The man is wet
6	4	1	The man is in the water	The boys is wet
6	4	2	A boys is outside near a campfire at night	There is a man outside
6	4	2	A man is outside near a campfire at night	There is a boys outside
6	4	3	A young woman is looking at a boys with a binocular	A man is looked at by a woman
6	4	3	A young woman is looking at a man with a binocular	A boys is looked at by a woman
6	4	4	Several people are moving towards the boys	There is a group of people near the man
6	4	4	Several people are moving towards the man	There is a group of people near the boys
6	4	5	A bald man standing to the side of a boys	The man stands near a man.
6	4	5	A bald man standing to the side of a man	The man stands near a boys.
6	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a man
6	4	6	A kid fetches a man by a tree in the yard.	a kid gets a boys
6	4	7	A green frog buys a boys from a stand.	There is a green frog buying a man
6	4	7	A green frog buys a man from a stand.	There is a green frog buying a boys
6	4	8	A boys	A man
6	4	8	A man	A boys
7	4	0	The boys is photographed with a camera	There is a outdoors present
7	4	0	The outdoors is photographed with a camera	There is a boys present
7	4	1	The boys is in the water	The outdoors is wet
7	4	1	The outdoors is in the water	The boys is wet
7	4	2	A boys is outside near a campfire at night	There is a outdoors outside
7	4	2	A outdoors is outside near a campfire at night	There is a boys outside
7	4	3	A young woman is looking at a boys with a binocular	A outdoors is looked at by a woman
7	4	3	A young woman is looking at a outdoors with a binocular	A boys is looked at by a woman
7	4	4	Several people are moving towards the boys	There is a group of people near the outdoors
7	4	4	Several people are moving towards the outdoors	There is a group of people near the boys
7	4	5	A bald man standing to the side of a boys	The man stands near a outdoors.
7	4	5	A bald man standing to the side of a outdoors	The man stands near a boys.
7	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a outdoors
7	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a boys
7	4	7	A green frog buys a boys from a stand.	There is a green frog buying a outdoors
7	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a boys
7	4	8	A boys	A outdoors
7	4	8	A outdoors	A boys
8	4	0	The boys is photographed with a camera	There is a boy playing outdoors present
8	4	0	The boy playing outdoors is photographed with a camera	There is a boys present
8	4	1	The boys is in the water	The boy playing outdoors is wet
8	4	1	The boy playing outdoors is in the water	The boys is wet
8	4	2	A boys is outside near a campfire at night	There is a boy playing outdoors outside
8	4	2	A boy playing outdoors is outside near a campfire at night	There is a boys outside
8	4	3	A young woman is looking at a boys with a binocular	A boy playing outdoors is looked at by a woman
8	4	3	A young woman is looking at a boy playing outdoors with a binocular	A boys is looked at by a woman
8	4	4	Several people are moving towards the boys	There is a group of people near the boy playing outdoors
8	4	4	Several people are moving towards the boy playing outdoors	There is a group of people near the boys
8	4	5	A bald man standing to the side of a boys	The man stands near a boy playing outdoors.
8	4	5	A bald man standing to the side of a boy playing outdoors	The man stands near a boys.
8	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a boy playing outdoors
8	4	6	A kid fetches a boy playing outdoors by a tree in the yard.	a kid gets a boys
8	4	7	A green frog buys a boys from a stand.	There is a green frog buying a boy playing outdoors
8	4	7	A green frog buys a boy playing outdoors from a stand.	There is a green frog buying a boys
8	4	8	A boys	A boy playing outdoors
8	4	8	A boy playing outdoors	A boys
9	4	0	The boys is photographed with a camera	There is a man smiling present
9	4	0	The man smiling is photographed with a camera	There is a boys present
9	4	1	The boys is in the water	The man smiling is wet
9	4	1	The man smiling is in the water	The boys is wet
9	4	2	A boys is outside near a campfire at night	There is a man smiling outside
9	4	2	A man smiling is outside near a campfire at night	There is a boys outside
9	4	3	A young woman is looking at a boys with a binocular	A man smiling is looked at by a woman
9	4	3	A young woman is looking at a man smiling with a binocular	A boys is looked at by a woman
9	4	4	Several people are moving towards the boys	There is a group of people near the man smiling
9	4	4	Several people are moving towards the man smiling	There is a group of people near the boys
9	4	5	A bald man standing to the side of a boys	The man stands near a man smiling.
9	4	5	A bald man standing to the side of a man smiling	The man stands near a boys.
9	4	6	A kid fetches a boys by a tree in the yard.	a kid gets a man smiling
9	4	6	A kid fetches a man smiling by a tree in the yard.	a kid gets a boys
9	4	7	A green frog buys a boys from a stand.	There is a green frog buying a man smiling
9	4	7	A green frog buys a man smiling from a stand.	There is a green frog buying a boys
9	4	8	A boys	A man smiling
9	4	8	A man smiling	A boys
10	4	0	The outdoors is photographed with a camera	There is a boy present
10	4	0	The boy is photographed with a camera	There is a outdoors present
10	4	1	The outdoors is in the water	The boy is wet
10	4	1	The boy is in the water	The outdoors is wet
10	4	2	A outdoors is outside near a campfire at night	There is a boy outside
10	4	2	A boy is outside near a campfire at night	There is a outdoors outside
10	4	3	A young woman is looking at a outdoors with a binocular	A boy is looked at by a woman
10	4	3	A young woman is looking at a boy with a binocular	A outdoors is looked at by a woman
10	4	4	Several people are moving towards the outdoors	There is a group of people near the boy
10	4	4	Several people are moving towards the boy	There is a group of people near the outdoors
10	4	5	A bald man standing to the side of a outdoors	The man stands near a boy.
10	4	5	A bald man standing to the side of a boy	The man stands near a outdoors.
