CombID	SenID	templatenum	prem	hyp	label	top1	top1_score	top2	top2_score	top3	top3_score
1	2	0	The adult is photographed with a camera	There is a child present	alternation	contradiction	0.6448266506195068	neutral	0.26155009865760803	entailment	0.09362319856882095
1	2	0	The child is photographed with a camera	There is a adult present	alternation	entailment	0.6907511949539185	neutral	0.3007780611515045	contradiction	0.008470720611512661
1	2	1	The adult is in the water	The child is wet	alternation	contradiction	0.8859086632728577	entailment	0.08036933839321136	neutral	0.03372201323509216
1	2	1	The child is in the water	The adult is wet	alternation	contradiction	0.9959352016448975	neutral	0.0024397019296884537	entailment	0.0016250715125352144
1	2	2	A adult is outside near a campfire at night	There is a child outside	alternation	contradiction	0.9806187748908997	neutral	0.010464596562087536	entailment	0.00891663134098053
1	2	2	A child is outside near a campfire at night	There is a adult outside	alternation	contradiction	0.9950560331344604	neutral	0.0025836913846433163	entailment	0.0023602736182510853
1	2	3	A young woman is looking at a adult with a binocular	A child is looked at by a woman	alternation	contradiction	0.9952220320701599	neutral	0.002708462532609701	entailment	0.0020695484708994627
1	2	3	A young woman is looking at a child with a binocular	A adult is looked at by a woman	alternation	contradiction	0.9981820583343506	neutral	0.001068389043211937	entailment	0.0007495462195947766
1	2	4	Several people are moving towards the adult	There is a group of people near the child	alternation	contradiction	0.9785059094429016	entailment	0.011518960818648338	neutral	0.009975135326385498
1	2	4	Several people are moving towards the child	There is a group of people near the adult	alternation	contradiction	0.9885588884353638	entailment	0.006304830312728882	neutral	0.0051363087259233
1	2	5	A bald man standing to the side of a adult	The man stands near a child.	alternation	contradiction	0.9984795451164246	neutral	0.001031356630846858	entailment	0.000489141559228301
1	2	5	A bald man standing to the side of a child	The man stands near a adult.	alternation	contradiction	0.9966511130332947	entailment	0.0018205796368420124	neutral	0.00152835831977427
1	2	6	A kid fetches a adult by a tree in the yard.	a kid gets a child	alternation	contradiction	0.9784181714057922	neutral	0.013070499524474144	entailment	0.008511396124958992
1	2	6	A kid fetches a child by a tree in the yard.	a kid gets a adult	alternation	contradiction	0.9949631690979004	neutral	0.004018483217805624	entailment	0.0010184156708419323
1	2	7	A green frog buys a adult from a stand.	There is a green frog buying a child	alternation	contradiction	0.9979777932167053	neutral	0.0017452652100473642	entailment	0.0002769499260466546
1	2	7	A green frog buys a child from a stand.	There is a green frog buying a adult	alternation	contradiction	0.9986696243286133	neutral	0.00112588657066226	entailment	0.00020455576304811984
1	2	8	A adult	A child	alternation	contradiction	0.9999269247055054	neutral	4.1557486838428304e-05	entailment	3.148936593788676e-05
1	2	8	A child	A adult	alternation	contradiction	0.9999440908432007	neutral	3.071917308261618e-05	entailment	2.5168345018755645e-05
